# Channel Number	Counts	Error
0	0	0.0000
1	0	0.0000
2	75	8.6603
3	3447	58.7112
4	4573	67.6240
5	3836	61.9355
6	3180	56.3915
7	2735	52.2972
8	2554	50.5371
9	2169	46.5725
10	1878	43.3359
11	1721	41.4849
12	1661	40.7554
13	1499	38.7169
14	1329	36.4555
15	1342	36.6333
16	1232	35.0999
17	1059	32.5423
18	1065	32.6343
19	886	29.7658
20	890	29.8329
21	775	27.8388
22	779	27.9106
23	724	26.9072
24	709	26.6271
25	684	26.1534
26	618	24.8596
27	588	24.2487
28	585	24.1868
29	526	22.9347
30	536	23.1517
31	540	23.2379
32	504	22.4499
33	501	22.3830
34	445	21.0950
35	420	20.4939
36	405	20.1246
37	376	19.3907
38	389	19.7231
39	376	19.3907
40	357	18.8944
41	329	18.1384
42	326	18.0555
43	296	17.2047
44	274	16.5529
45	267	16.3401
46	257	16.0312
47	289	17.0000
48	253	15.9060
49	211	14.5258
50	225	15.0000
51	201	14.1774
52	181	13.4536
53	185	13.6015
54	164	12.8062
55	156	12.4900
56	162	12.7279
57	155	12.4499
58	150	12.2474
59	143	11.9583
60	132	11.4891
61	91	9.5394
62	105	10.2470
63	90	9.4868
64	103	10.1489
65	78	8.8318
66	105	10.2470
67	97	9.8489
68	78	8.8318
69	73	8.5440
70	66	8.1240
71	53	7.2801
72	50	7.0711
73	63	7.9373
74	43	6.5574
75	35	5.9161
76	49	7.0000
77	33	5.7446
78	37	6.0828
79	37	6.0828
80	32	5.6569
81	28	5.2915
82	41	6.4031
83	34	5.8310
84	26	5.0990
85	25	5.0000
86	24	4.8990
87	22	4.6904
88	18	4.2426
89	19	4.3589
90	17	4.1231
91	17	4.1231
92	18	4.2426
93	21	4.5826
94	12	3.4641
95	12	3.4641
96	11	3.3166
97	14	3.7417
98	10	3.1623
99	13	3.6056
100	12	3.4641
101	8	2.8284
102	8	2.8284
103	7	2.6458
104	8	2.8284
105	4	2.0000
106	5	2.2361
107	5	2.2361
108	10	3.1623
109	3	1.7321
110	7	2.6458
111	6	2.4495
112	5	2.2361
113	7	2.6458
114	7	2.6458
115	5	2.2361
116	3	1.7321
117	1	1.0000
118	5	2.2361
119	6	2.4495
120	3	1.7321
121	7	2.6458
122	5	2.2361
123	3	1.7321
124	3	1.7321
125	8	2.8284
126	5	2.2361
127	5	2.2361
128	7	2.6458
129	4	2.0000
130	2	1.4142
131	6	2.4495
132	9	3.0000
133	4	2.0000
134	2	1.4142
135	10	3.1623
136	8	2.8284
137	3	1.7321
138	3	1.7321
139	6	2.4495
140	8	2.8284
141	3	1.7321
142	4	2.0000
143	4	2.0000
144	5	2.2361
145	5	2.2361
146	6	2.4495
147	4	2.0000
148	4	2.0000
149	2	1.4142
150	4	2.0000
151	6	2.4495
152	3	1.7321
153	4	2.0000
154	7	2.6458
155	2	1.4142
156	4	2.0000
157	1	1.0000
158	3	1.7321
159	3	1.7321
160	3	1.7321
161	6	2.4495
162	4	2.0000
163	5	2.2361
164	5	2.2361
165	3	1.7321
166	5	2.2361
167	3	1.7321
168	5	2.2361
169	3	1.7321
170	2	1.4142
171	2	1.4142
172	2	1.4142
173	4	2.0000
174	3	1.7321
175	8	2.8284
176	5	2.2361
177	2	1.4142
178	4	2.0000
179	4	2.0000
180	3	1.7321
181	2	1.4142
182	4	2.0000
183	5	2.2361
184	4	2.0000
185	0	0.0000
186	6	2.4495
187	0	0.0000
188	5	2.2361
189	4	2.0000
190	3	1.7321
191	2	1.4142
192	5	2.2361
193	2	1.4142
194	4	2.0000
195	1	1.0000
196	3	1.7321
197	3	1.7321
198	0	0.0000
199	1	1.0000
200	3	1.7321
201	1	1.0000
202	2	1.4142
203	5	2.2361
204	0	0.0000
205	4	2.0000
206	6	2.4495
207	1	1.0000
208	4	2.0000
209	5	2.2361
210	3	1.7321
211	1	1.0000
212	2	1.4142
213	0	0.0000
214	1	1.0000
215	1	1.0000
216	0	0.0000
217	2	1.4142
218	0	0.0000
219	1	1.0000
220	0	0.0000
221	4	2.0000
222	1	1.0000
223	4	2.0000
224	4	2.0000
225	1	1.0000
226	2	1.4142
227	2	1.4142
228	3	1.7321
229	1	1.0000
230	2	1.4142
231	2	1.4142
232	1	1.0000
233	7	2.6458
234	0	0.0000
235	0	0.0000
236	3	1.7321
237	2	1.4142
238	5	2.2361
239	1	1.0000
240	1	1.0000
241	3	1.7321
242	0	0.0000
243	2	1.4142
244	3	1.7321
245	0	0.0000
246	4	2.0000
247	1	1.0000
248	4	2.0000
249	3	1.7321
250	1	1.0000
251	0	0.0000
252	3	1.7321
253	1	1.0000
254	0	0.0000
255	2	1.4142
256	0	0.0000
257	1	1.0000
258	1	1.0000
259	1	1.0000
260	4	2.0000
261	1	1.0000
262	3	1.7321
263	1	1.0000
264	0	0.0000
265	0	0.0000
266	2	1.4142
267	0	0.0000
268	2	1.4142
269	0	0.0000
270	1	1.0000
271	1	1.0000
272	1	1.0000
273	0	0.0000
274	0	0.0000
275	0	0.0000
276	0	0.0000
277	1	1.0000
278	1	1.0000
279	0	0.0000
280	1	1.0000
281	1	1.0000
282	3	1.7321
283	0	0.0000
284	0	0.0000
285	3	1.7321
286	1	1.0000
287	1	1.0000
288	2	1.4142
289	0	0.0000
290	2	1.4142
291	2	1.4142
292	0	0.0000
293	0	0.0000
294	1	1.0000
295	2	1.4142
296	1	1.0000
297	1	1.0000
298	1	1.0000
299	2	1.4142
300	1	1.0000
301	2	1.4142
302	0	0.0000
303	1	1.0000
304	0	0.0000
305	0	0.0000
306	0	0.0000
307	2	1.4142
308	3	1.7321
309	1	1.0000
310	0	0.0000
311	1	1.0000
312	3	1.7321
313	0	0.0000
314	1	1.0000
315	1	1.0000
316	0	0.0000
317	0	0.0000
318	3	1.7321
319	0	0.0000
320	1	1.0000
