# Channel Number	Net Counts	Error
0	0	0.0000
1	1	1.0000
2	195	18.5742
3	7275	119.0336
4	9524	136.6382
5	8356	126.6017
6	8084	120.1832
7	9202	121.1280
8	11603	129.2710
9	12936	131.4306
10	12602	127.8984
11	11069	120.4616
12	9193	111.8705
13	7584	102.8688
14	6946	98.0000
15	6672	96.7264
16	7154	98.0714
17	6848	94.6890
18	6187	91.1976
19	5647	86.1336
20	5097	82.9277
21	4320	76.6159
22	3310	69.7711
23	2579	63.4586
24	2307	61.0328
25	1916	57.3062
26	1747	54.6168
27	1688	53.5164
28	1537	52.0288
29	1625	51.7397
30	1530	51.0098
31	1529	51.0784
32	1619	51.2543
33	1561	50.6261
34	1432	48.1871
35	1477	48.1352
36	1537	48.4458
37	1508	47.5395
38	1419	46.8722
39	1481	47.2546
40	1485	46.8935
41	1394	45.2990
42	1467	46.0326
43	1508	45.8258
44	1477	45.0000
45	1490	44.9889
46	1355	43.2319
47	1364	44.0681
48	1519	45.0000
49	1538	44.2719
50	1429	43.3474
51	1385	42.2729
52	1456	42.6380
53	1496	43.1972
54	1392	41.4729
55	1356	40.8412
56	1325	40.6079
57	1344	40.6694
58	1293	39.9124
59	1269	39.4335
60	1318	39.7744
61	1307	38.5876
62	1356	39.5727
63	1363	39.2810
64	1272	38.4448
65	1342	38.7040
66	1272	38.4968
67	1261	38.1445
68	1222	37.1214
69	1203	36.7287
70	1199	36.4829
71	1149	35.4260
72	1129	35.0571
73	1041	34.1614
74	1097	34.3948
75	1021	33.0303
76	924	31.9687
77	929	31.5436
78	974	32.3728
79	948	31.9687
80	926	31.4643
81	897	30.8707
82	900	31.3369
83	918	31.4006
84	897	30.8058
85	872	30.3645
86	912	30.9839
87	911	30.9031
88	889	30.4138
89	828	29.4279
90	828	29.3598
91	735	27.7308
92	802	28.9482
93	712	27.4591
94	677	26.4764
95	771	28.1957
96	840	29.3598
97	793	28.6531
98	852	29.5296
99	890	30.2655
100	933	30.9354
101	1015	32.1092
102	1036	32.4345
103	1121	33.6898
104	1104	33.4664
105	1059	32.6650
106	1018	32.0624
107	1059	32.6956
108	939	30.9677
109	886	29.8664
110	821	28.8964
111	741	27.4408
112	719	27.0000
113	638	25.5343
114	522	23.1517
115	533	23.3024
116	433	20.9523
117	392	19.8494
118	363	19.3132
119	300	17.6635
120	297	17.4069
121	248	16.1864
122	187	14.0357
123	158	12.8062
124	135	11.8743
125	109	11.1803
126	106	10.7703
127	77	9.3274
128	68	9.0554
129	37	6.7082
130	48	7.2111
131	32	6.6332
132	18	6.0000
133	16	4.8990
134	18	4.6904
135	14	5.8310
136	0	4.0000
137	11	4.1231
138	12	4.2426
139	4	4.0000
140	0	3.4641
141	5	3.3166
142	2	3.1623
143	1	3.0000
144	0	3.1623
145	1	3.3166
146	0	3.3166
147	4	3.4641
148	0	2.8284
149	0	2.0000
150	0	2.6458
151	0	3.4641
152	1	2.6458
153	1	3.0000
154	0	3.4641
155	2	2.4495
156	0	2.6458
157	4	2.4495
158	2	2.8284
159	4	3.1623
160	0	2.2361
161	0	3.0000
162	1	3.0000
163	0	3.1623
164	0	3.0000
165	2	2.8284
166	2	3.4641
167	1	2.6458
168	0	3.0000
169	0	2.4495
170	0	2.0000
171	5	3.0000
172	5	3.0000
173	1	3.0000
174	0	2.0000
175	0	3.4641
176	0	3.1623
177	0	2.0000
178	1	3.0000
179	0	2.6458
180	1	2.6458
181	0	1.7321
182	0	2.4495
183	0	2.8284
184	0	2.6458
185	1	1.0000
186	0	2.6458
187	3	1.7321
188	0	3.0000
189	0	2.2361
190	0	1.7321
191	2	2.4495
192	0	2.2361
193	1	2.2361
194	0	2.2361
195	2	2.0000
196	0	2.0000
197	2	2.8284
198	2	1.4142
199	1	1.7321
200	0	2.2361
201	3	2.2361
202	1	2.2361
203	0	2.2361
204	4	2.0000
205	0	2.8284
206	0	3.0000
207	2	2.0000
208	0	2.2361
209	0	2.8284
210	0	2.0000
211	4	2.4495
212	0	1.7321
213	1	1.0000
214	1	1.7321
215	3	2.2361
216	2	1.4142
217	0	2.0000
218	2	1.4142
219	1	1.7321
220	1	1.0000
221	0	2.6458
222	3	2.2361
223	0	2.2361
224	0	2.2361
225	3	2.2361
226	0	2.0000
227	0	1.7321
228	0	2.2361
229	2	2.0000
230	4	2.8284
231	2	2.4495
232	1	1.7321
233	0	3.1623
234	2	1.4142
235	0	0.0000
236	0	2.4495
237	0	1.4142
238	0	2.4495
239	1	1.7321
240	0	1.0000
241	0	2.0000
242	2	1.4142
243	0	1.4142
244	0	2.0000
245	0	0.0000
246	0	2.0000
247	1	1.7321
248	0	2.8284
249	0	2.0000
250	0	1.4142
251	1	1.0000
252	0	1.7321
253	2	2.0000
254	1	1.0000
255	0	2.0000
256	2	1.4142
257	0	1.0000
258	1	1.7321
259	0	1.4142
260	0	2.2361
261	1	1.7321
262	0	1.7321
263	0	1.0000
264	0	0.0000
265	0	0.0000
266	0	2.0000
267	2	1.4142
268	0	1.4142
269	2	1.4142
270	0	1.4142
271	0	1.0000
272	0	1.0000
273	3	1.7321
274	2	1.4142
275	0	0.0000
276	3	1.7321
277	0	1.0000
278	0	1.0000
279	1	1.0000
280	0	1.4142
281	0	1.4142
282	0	1.7321
283	1	1.0000
284	0	0.0000
285	0	1.7321
286	0	1.0000
287	0	1.4142
288	0	1.4142
289	0	0.0000
290	0	1.4142
291	0	1.7321
292	0	0.0000
293	1	1.0000
294	0	1.4142
295	0	1.7321
296	0	1.0000
297	0	1.0000
298	0	1.0000
299	0	1.7321
300	0	1.4142
301	0	1.7321
302	0	0.0000
303	2	2.0000
304	0	0.0000
305	0	0.0000
306	0	0.0000
307	0	1.4142
308	0	1.7321
309	0	1.4142
310	1	1.0000
311	0	1.0000
312	0	1.7321
313	1	1.0000
314	0	1.0000
315	0	1.4142
316	0	0.0000
317	0	0.0000
318	0	2.0000
319	0	0.0000
320	0	1.0000
321	0	1.0000
322	0	1.0000
323	0	0.0000
324	0	0.0000
325	0	0.0000
326	3	1.7321
327	0	0.0000
328	0	0.0000
329	0	0.0000
330	0	0.0000
331	0	0.0000
332	1	1.0000
333	1	1.0000
334	0	0.0000
335	0	0.0000
336	1	1.0000
337	0	0.0000
338	0	1.4142
339	1	1.0000
340	0	0.0000
341	0	0.0000
342	0	1.0000
343	0	0.0000
344	0	0.0000
345	0	0.0000
346	1	1.0000
347	0	1.7321
348	0	1.0000
349	0	0.0000
350	0	1.0000
351	0	0.0000
352	0	0.0000
353	0	0.0000
354	0	0.0000
355	0	0.0000
356	0	1.0000
357	0	1.4142
358	0	1.4142
359	0	1.0000
360	0	0.0000
361	0	0.0000
362	0	0.0000
363	0	0.0000
364	0	1.4142
365	2	1.4142
366	0	1.0000
367	0	0.0000
368	0	0.0000
369	0	1.0000
370	0	1.0000
371	0	0.0000
372	0	0.0000
373	0	1.0000
374	0	0.0000
375	0	0.0000
376	0	0.0000
377	0	1.0000
378	0	0.0000
379	0	0.0000
380	0	0.0000
381	0	1.0000
382	1	1.0000
383	1	1.0000
384	0	1.0000
385	0	1.0000
386	1	1.0000
387	0	0.0000
388	1	1.0000
389	0	0.0000
390	0	0.0000
391	0	0.0000
392	1	1.0000
393	0	0.0000
394	0	0.0000
395	0	1.0000
396	0	0.0000
397	0	0.0000
398	0	0.0000
399	0	0.0000
400	0	0.0000
401	0	0.0000
402	0	0.0000
403	0	1.0000
404	0	0.0000
405	0	0.0000
406	0	0.0000
407	0	0.0000
408	0	0.0000
409	0	0.0000
410	0	0.0000
411	0	0.0000
412	0	0.0000
413	0	0.0000
414	0	0.0000
415	0	0.0000
416	0	0.0000
417	0	0.0000
418	0	0.0000
419	0	0.0000
420	0	0.0000
421	0	0.0000
422	0	0.0000
423	0	0.0000
424	0	0.0000
425	0	0.0000
426	1	1.0000
427	0	0.0000
428	0	0.0000
429	0	0.0000
430	0	0.0000
431	0	0.0000
432	1	1.0000
433	0	0.0000
434	0	0.0000
435	0	0.0000
436	0	0.0000
437	0	0.0000
438	1	1.0000
439	2	1.4142
440	0	0.0000
441	1	1.0000
442	0	0.0000
443	0	0.0000
444	0	0.0000
445	0	0.0000
446	0	0.0000
447	1	1.0000
448	0	0.0000
449	0	0.0000
450	0	0.0000
451	0	0.0000
452	0	0.0000
453	0	1.0000
454	0	0.0000
455	0	0.0000
456	0	0.0000
457	0	0.0000
458	1	1.0000
459	0	1.0000
460	0	0.0000
