# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.000
1	1	1.0000	3.093
2	195	18.5742	6.187
3	7275	119.0336	9.280
4	9524	136.6382	12.374
5	8356	126.6017	15.467
6	8084	120.1832	18.560
7	9202	121.1280	21.654
8	11603	129.2710	24.747
9	12936	131.4306	27.841
10	12602	127.8984	30.934
11	11069	120.4616	34.027
12	9193	111.8705	37.121
13	7584	102.8688	40.214
14	6946	98.0000	43.308
15	6672	96.7264	46.401
16	7154	98.0714	49.494
17	6848	94.6890	52.588
18	6187	91.1976	55.681
19	5647	86.1336	58.775
20	5097	82.9277	61.868
21	4320	76.6159	64.961
22	3310	69.7711	68.055
23	2579	63.4586	71.148
24	2307	61.0328	74.242
25	1916	57.3062	77.335
26	1747	54.6168	80.428
27	1688	53.5164	83.522
28	1537	52.0288	86.615
29	1625	51.7397	89.709
30	1530	51.0098	92.802
31	1529	51.0784	95.895
32	1619	51.2543	98.989
33	1561	50.6261	102.082
34	1432	48.1871	105.176
35	1477	48.1352	108.269
36	1537	48.4458	111.362
37	1508	47.5395	114.456
38	1419	46.8722	117.549
39	1481	47.2546	120.643
40	1485	46.8935	123.736
41	1394	45.2990	126.829
42	1467	46.0326	129.923
43	1508	45.8258	133.016
44	1477	45.0000	136.110
45	1490	44.9889	139.203
46	1355	43.2319	142.296
47	1364	44.0681	145.390
48	1519	45.0000	148.483
49	1538	44.2719	151.577
50	1429	43.3474	154.670
51	1385	42.2729	157.763
52	1456	42.6380	160.857
53	1496	43.1972	163.950
54	1392	41.4729	167.044
55	1356	40.8412	170.137
56	1325	40.6079	173.230
57	1344	40.6694	176.324
58	1293	39.9124	179.417
59	1269	39.4335	182.511
60	1318	39.7744	185.604
61	1307	38.5876	188.697
62	1356	39.5727	191.791
63	1363	39.2810	194.884
64	1272	38.4448	197.978
65	1342	38.7040	201.071
66	1272	38.4968	204.164
67	1261	38.1445	207.258
68	1222	37.1214	210.351
69	1203	36.7287	213.445
70	1199	36.4829	216.538
71	1149	35.4260	219.631
72	1129	35.0571	222.725
73	1041	34.1614	225.818
74	1097	34.3948	228.912
75	1021	33.0303	232.005
76	924	31.9687	235.098
77	929	31.5436	238.192
78	974	32.3728	241.285
79	948	31.9687	244.379
80	926	31.4643	247.472
81	897	30.8707	250.565
82	900	31.3369	253.659
83	918	31.4006	256.752
84	897	30.8058	259.846
85	872	30.3645	262.939
86	912	30.9839	266.032
87	911	30.9031	269.126
88	889	30.4138	272.219
89	828	29.4279	275.313
90	828	29.3598	278.406
91	735	27.7308	281.499
92	802	28.9482	284.593
93	712	27.4591	287.686
94	677	26.4764	290.780
95	771	28.1957	293.873
96	840	29.3598	296.966
97	793	28.6531	300.060
98	852	29.5296	303.153
99	890	30.2655	306.247
100	933	30.9354	309.340
101	1015	32.1092	312.433
102	1036	32.4345	315.527
103	1121	33.6898	318.620
104	1104	33.4664	321.714
105	1059	32.6650	324.807
106	1018	32.0624	327.900
107	1059	32.6956	330.994
108	939	30.9677	334.087
109	886	29.8664	337.181
110	821	28.8964	340.274
111	741	27.4408	343.367
112	719	27.0000	346.461
113	638	25.5343	349.554
114	522	23.1517	352.648
115	533	23.3024	355.741
116	433	20.9523	358.834
117	392	19.8494	361.928
118	363	19.3132	365.021
119	300	17.6635	368.115
120	297	17.4069	371.208
121	248	16.1864	374.301
122	187	14.0357	377.395
123	158	12.8062	380.488
124	135	11.8743	383.582
125	109	11.1803	386.675
126	106	10.7703	389.768
127	77	9.3274	392.862
128	68	9.0554	395.955
129	37	6.7082	399.049
130	48	7.2111	402.142
131	32	6.6332	405.235
132	18	6.0000	408.329
133	16	4.8990	411.422
134	18	4.6904	414.516
135	14	5.8310	417.609
136	0	4.0000	420.702
137	11	4.1231	423.796
138	12	4.2426	426.889
139	4	4.0000	429.983
140	0	3.4641	433.076
141	5	3.3166	436.169
142	2	3.1623	439.263
143	1	3.0000	442.356
144	0	3.1623	445.450
145	1	3.3166	448.543
146	0	3.3166	451.636
147	4	3.4641	454.730
148	0	2.8284	457.823
149	0	2.0000	460.917
150	0	2.6458	464.010
151	0	3.4641	467.103
