# Channel Number	Net Counts	Error
0	0	0.0000
1	5	2.2361
2	458	24.6577
3	4783	108.0602
4	4279	115.8663
5	3352	104.9952
6	2844	95.9375
7	2905	91.5150
8	3177	91.0220
9	3442	88.2043
10	3266	83.7974
11	3504	83.3427
12	3607	83.2406
13	3791	82.3954
14	3778	80.2247
15	3938	81.3757
16	4349	82.5409
17	4474	81.1911
18	4364	80.5854
19	4721	80.5792
20	4935	81.9451
21	4953	80.6412
22	5112	81.6701
23	5249	81.8352
24	5548	83.4626
25	5601	83.4805
26	5452	81.7802
27	5613	82.3954
28	5771	83.3127
29	5942	83.6301
30	5982	83.9881
31	6203	85.3405
32	6658	87.5557
33	6503	86.6314
34	6272	84.6286
35	6402	85.0999
36	6438	85.1352
37	6521	85.2819
38	6447	85.0000
39	6763	86.6891
40	6894	87.2238
41	7200	88.6454
42	6668	85.5570
43	6927	86.7122
44	6919	86.4118
45	6869	86.0407
46	6823	85.6563
47	7112	87.6926
48	7197	87.7667
49	7197	87.2869
50	6991	86.2612
51	7007	86.0755
52	6990	85.7438
53	6994	85.8138
54	6896	84.9941
55	6991	85.4576
56	7064	85.9535
57	7050	85.7904
58	6860	84.6168
59	6839	84.4097
60	6703	83.4686
61	6771	83.3847
62	6733	83.3247
63	6892	84.0952
64	7038	85.1117
65	6822	83.5344
66	6498	81.9024
67	6584	82.3286
68	6463	81.3572
69	6489	81.4555
70	6404	80.8455
71	6580	81.7680
72	6591	81.7985
73	6397	80.7651
74	6163	79.0506
75	6200	79.1833
76	6092	78.6766
77	6131	78.7210
78	5951	77.6209
79	5997	77.9166
80	6189	79.0759
81	6114	78.5493
82	5792	76.6420
83	5655	75.6505
84	5749	76.1643
85	5717	75.9408
86	5545	74.7864
87	5457	74.1687
88	5588	74.9933
89	5485	74.3169
90	5171	72.1457
91	5056	71.3442
92	5095	71.6310
93	4916	70.4131
94	4937	70.4344
95	4872	69.9714
96	5217	72.3809
97	5032	71.1337
98	4575	67.7864
99	4538	67.5574
100	4500	67.2607
101	4277	65.5210
102	4341	66.0076
103	4297	65.6582
104	4311	65.7799
105	4075	63.8984
106	3983	63.1902
107	3881	62.3779
108	3858	62.2736
109	3883	62.3618
110	3674	60.7289
111	3677	60.7371
112	3782	61.5792
113	3583	59.9750
114	3369	58.1636
115	3323	57.7321
116	3231	56.8946
117	3062	55.3534
118	2987	54.7449
119	3048	55.3173
120	3049	55.2721
121	2838	53.4041
122	2847	53.4509
123	2646	51.4976
124	2653	51.5655
125	2577	50.9215
126	2450	49.5984
127	2490	50.0000
128	2514	50.2792
129	2362	48.6826
130	2224	47.2017
131	2203	47.0638
132	2224	47.3498
133	2085	45.7493
134	2103	45.9021
135	1897	43.7836
136	1940	44.2267
137	1906	43.7264
138	1852	43.1045
139	1809	42.6732
140	1692	41.3280
141	1716	41.4970
142	1628	40.4475
