# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.000
1	5	2.2361	3.093
2	458	24.6577	6.187
3	4783	108.0602	9.280
4	4279	115.8663	12.374
5	3352	104.9952	15.467
6	2844	95.9375	18.560
7	2905	91.5150	21.654
8	3177	91.0220	24.747
9	3442	88.2043	27.841
10	3266	83.7974	30.934
11	3504	83.3427	34.027
12	3607	83.2406	37.121
13	3791	82.3954	40.214
14	3778	80.2247	43.308
15	3938	81.3757	46.401
16	4349	82.5409	49.494
17	4474	81.1911	52.588
18	4364	80.5854	55.681
19	4721	80.5792	58.775
20	4935	81.9451	61.868
21	4953	80.6412	64.961
22	5112	81.6701	68.055
23	5249	81.8352	71.148
24	5548	83.4626	74.242
25	5601	83.4805	77.335
26	5452	81.7802	80.428
27	5613	82.3954	83.522
28	5771	83.3127	86.615
29	5942	83.6301	89.709
30	5982	83.9881	92.802
31	6203	85.3405	95.895
32	6658	87.5557	98.989
33	6503	86.6314	102.082
34	6272	84.6286	105.176
35	6402	85.0999	108.269
36	6438	85.1352	111.362
37	6521	85.2819	114.456
38	6447	85.0000	117.549
39	6763	86.6891	120.643
40	6894	87.2238	123.736
41	7200	88.6454	126.829
42	6668	85.5570	129.923
43	6927	86.7122	133.016
44	6919	86.4118	136.110
45	6869	86.0407	139.203
46	6823	85.6563	142.296
47	7112	87.6926	145.390
48	7197	87.7667	148.483
49	7197	87.2869	151.577
50	6991	86.2612	154.670
51	7007	86.0755	157.763
52	6990	85.7438	160.857
53	6994	85.8138	163.950
54	6896	84.9941	167.044
55	6991	85.4576	170.137
56	7064	85.9535	173.230
57	7050	85.7904	176.324
58	6860	84.6168	179.417
59	6839	84.4097	182.511
60	6703	83.4686	185.604
61	6771	83.3847	188.697
62	6733	83.3247	191.791
63	6892	84.0952	194.884
64	7038	85.1117	197.978
65	6822	83.5344	201.071
66	6498	81.9024	204.164
67	6584	82.3286	207.258
68	6463	81.3572	210.351
69	6489	81.4555	213.445
70	6404	80.8455	216.538
71	6580	81.7680	219.631
72	6591	81.7985	222.725
73	6397	80.7651	225.818
74	6163	79.0506	228.912
75	6200	79.1833	232.005
76	6092	78.6766	235.098
77	6131	78.7210	238.192
78	5951	77.6209	241.285
79	5997	77.9166	244.379
80	6189	79.0759	247.472
81	6114	78.5493	250.565
82	5792	76.6420	253.659
83	5655	75.6505	256.752
84	5749	76.1643	259.846
85	5717	75.9408	262.939
86	5545	74.7864	266.032
87	5457	74.1687	269.126
88	5588	74.9933	272.219
89	5485	74.3169	275.313
90	5171	72.1457	278.406
91	5056	71.3442	281.499
92	5095	71.6310	284.593
93	4916	70.4131	287.686
94	4937	70.4344	290.780
95	4872	69.9714	293.873
96	5217	72.3809	296.966
97	5032	71.1337	300.060
98	4575	67.7864	303.153
99	4538	67.5574	306.247
100	4500	67.2607	309.340
101	4277	65.5210	312.433
102	4341	66.0076	315.527
103	4297	65.6582	318.620
104	4311	65.7799	321.714
105	4075	63.8984	324.807
