# Channel Number	Net Counts	Error
0	0	0.0000
1	2	1.4142
2	229	19.4679
3	6193	114.3984
4	6841	126.4397
5	6118	117.4308
6	5875	110.6119
7	6203	108.0417
8	6974	109.9182
9	7351	108.1157
10	7844	107.7033
11	8673	110.0682
12	9406	112.8184
13	9817	113.2034
14	10141	113.1327
15	10126	113.1813
16	11032	116.1723
17	10823	113.7585
18	9744	108.9679
19	9337	105.3992
20	8181	99.8048
21	7281	93.9734
22	6215	88.1646
23	5854	85.4517
24	5702	84.3801
25	5586	83.3906
26	5574	82.5227
27	5828	83.6899
28	6464	87.3728
29	7111	90.3493
30	7730	93.8190
31	8309	96.8969
32	9320	101.6268
33	9197	100.9901
34	8075	94.6837
35	7907	93.5254
36	7000	88.3742
37	6141	83.0241
38	5054	76.3675
39	4237	70.6329
40	3630	65.9090
41	3056	60.9426
42	2639	57.3672
43	2316	53.9259
44	2376	54.0740
45	2145	51.7591
46	2131	51.4296
47	2056	51.3225
48	2216	52.1728
49	2168	50.8920
50	2023	49.7293
51	2077	49.7896
52	2030	48.9081
53	2032	49.0102
54	1990	48.1456
55	2047	48.5695
56	2189	50.1298
57	2102	49.1121
58	2070	48.6826
59	2048	48.3115
60	2155	49.1833
61	2145	48.2390
62	2130	48.3735
63	2154	48.3115
64	2135	48.3839
65	2056	47.0319
66	1949	46.4650
67	1986	46.6905
68	1896	45.2990
69	1880	45.0111
70	1807	44.0341
71	1892	44.6990
72	1875	44.4410
73	1798	43.8634
74	1741	42.7434
75	1805	43.3013
76	1737	42.8369
77	1678	41.7612
78	1651	41.5331
79	1713	42.2729
80	1738	42.4500
81	1643	41.2189
82	1595	40.9512
83	1553	40.2616
84	1646	41.2068
85	1562	40.1497
86	1632	40.9878
87	1619	40.7799
88	1650	41.0609
89	1627	40.8044
90	1573	40.0874
91	1540	39.6737
92	1572	40.0999
93	1581	40.2865
94	1482	38.8072
95	1565	39.8623
96	1728	41.8330
97	1674	41.2553
98	1479	38.7169
99	1480	38.8072
100	1482	38.8072
101	1393	37.5366
102	1415	37.8286
103	1362	37.0945
104	1443	38.1969
105	1395	37.4566
106	1240	35.3553
107	1281	35.9305
108	1279	36.0416
109	1274	35.7771
110	1251	35.5668
111	1223	35.1426
112	1241	35.3695
113	1202	34.8712
114	1244	35.4683
115	1186	34.5832
116	1214	34.9285
