# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.000
1	2	1.4142	3.093
2	229	19.4679	6.187
3	6193	114.3984	9.280
4	6841	126.4397	12.374
5	6118	117.4308	15.467
6	5875	110.6119	18.560
7	6203	108.0417	21.654
8	6974	109.9182	24.747
9	7351	108.1157	27.841
10	7844	107.7033	30.934
11	8673	110.0682	34.027
12	9406	112.8184	37.121
13	9817	113.2034	40.214
14	10141	113.1327	43.308
15	10126	113.1813	46.401
16	11032	116.1723	49.494
17	10823	113.7585	52.588
18	9744	108.9679	55.681
19	9337	105.3992	58.775
20	8181	99.8048	61.868
21	7281	93.9734	64.961
22	6215	88.1646	68.055
23	5854	85.4517	71.148
24	5702	84.3801	74.242
25	5586	83.3906	77.335
26	5574	82.5227	80.428
27	5828	83.6899	83.522
28	6464	87.3728	86.615
29	7111	90.3493	89.709
30	7730	93.8190	92.802
31	8309	96.8969	95.895
32	9320	101.6268	98.989
33	9197	100.9901	102.082
34	8075	94.6837	105.176
35	7907	93.5254	108.269
36	7000	88.3742	111.362
37	6141	83.0241	114.456
38	5054	76.3675	117.549
39	4237	70.6329	120.643
40	3630	65.9090	123.736
41	3056	60.9426	126.829
42	2639	57.3672	129.923
43	2316	53.9259	133.016
44	2376	54.0740	136.110
45	2145	51.7591	139.203
46	2131	51.4296	142.296
47	2056	51.3225	145.390
48	2216	52.1728	148.483
49	2168	50.8920	151.577
50	2023	49.7293	154.670
51	2077	49.7896	157.763
52	2030	48.9081	160.857
53	2032	49.0102	163.950
54	1990	48.1456	167.044
55	2047	48.5695	170.137
56	2189	50.1298	173.230
57	2102	49.1121	176.324
58	2070	48.6826	179.417
59	2048	48.3115	182.511
60	2155	49.1833	185.604
61	2145	48.2390	188.697
62	2130	48.3735	191.791
63	2154	48.3115	194.884
64	2135	48.3839	197.978
65	2056	47.0319	201.071
66	1949	46.4650	204.164
67	1986	46.6905	207.258
68	1896	45.2990	210.351
69	1880	45.0111	213.445
70	1807	44.0341	216.538
71	1892	44.6990	219.631
72	1875	44.4410	222.725
73	1798	43.8634	225.818
74	1741	42.7434	228.912
75	1805	43.3013	232.005
76	1737	42.8369	235.098
77	1678	41.7612	238.192
78	1651	41.5331	241.285
79	1713	42.2729	244.379
80	1738	42.4500	247.472
81	1643	41.2189	250.565
82	1595	40.9512	253.659
83	1553	40.2616	256.752
84	1646	41.2068	259.846
85	1562	40.1497	262.939
86	1632	40.9878	266.032
87	1619	40.7799	269.126
88	1650	41.0609	272.219
89	1627	40.8044	275.313
90	1573	40.0874	278.406
91	1540	39.6737	281.499
92	1572	40.0999	284.593
93	1581	40.2865	287.686
94	1482	38.8072	290.780
95	1565	39.8623	293.873
96	1728	41.8330	296.966
97	1674	41.2553	300.060
98	1479	38.7169	303.153
99	1480	38.8072	306.247
100	1482	38.8072	309.340
101	1393	37.5366	312.433
102	1415	37.8286	315.527
103	1362	37.0945	318.620
104	1443	38.1969	321.714
105	1395	37.4566	324.807
106	1240	35.3553	327.900
107	1281	35.9305	330.994
108	1279	36.0416	334.087
109	1274	35.7771	337.181
110	1251	35.5668	340.274
111	1223	35.1426	343.367
112	1241	35.3695	346.461
113	1202	34.8712	349.554
114	1244	35.4683	352.648
115	1186	34.5832	355.741
116	1214	34.9285	358.834
117	1118	33.4664	361.928
118	1112	33.4963	365.021
119	1084	33.1059	368.115
120	1118	33.5261	371.208
121	1102	33.4066	374.301
122	1050	32.5576	377.395
123	1043	32.3883	380.488
124	1092	33.1361	383.582
125	1065	32.8786	386.675
126	956	31.0805	389.768
127	961	31.1609	392.862
128	968	31.3369	395.955
129	967	31.2250	399.049
130	985	31.4484	402.142
131	927	30.6431	405.235
132	1017	32.1714	408.329
133	911	30.3150	411.422
134	943	30.7734	414.516
135	908	30.4631	417.609
136	975	31.4802	420.702
137	983	31.4484	423.796
138	908	30.2324	426.889
139	881	29.8831	429.983
140	850	29.4279	433.076
141	852	29.2916	436.169
142	900	30.1330	439.263
143	839	29.1033	442.356
144	813	28.6880	445.450
145	888	29.9666	448.543
146	824	28.9137	451.636
147	795	28.3373	454.730
148	864	29.5296	457.823
149	861	29.4109	460.917
150	848	29.2575	464.010
151	801	28.5132	467.103
152	832	28.9482	470.197
153	770	27.8927	473.290
154	775	28.0891	476.384
155	779	27.9821	479.477
156	769	27.8747	482.570
157	760	27.6043	485.664
158	740	27.3130	488.757
159	712	26.7955	491.851
160	778	28.0000	494.944
161	783	28.1957	498.037
162	719	26.9629	501.131
163	722	27.0555	504.224
164	723	27.0740	507.318
165	731	27.1477	510.411
166	669	26.0576	513.504
167	721	26.9629	516.598
168	685	26.3629	519.691
169	685	26.2869	522.785
170	668	25.9230	525.878
171	674	26.0384	528.971
172	668	25.9230	532.065
173	638	25.4165	535.158
174	666	25.9230	538.252
175	655	25.9037	541.345
176	705	26.7395	544.438
177	615	24.8797	547.532
178	614	24.9399	550.625
179	648	25.6125	553.719
180	594	24.4949	556.812
181	601	24.5967	559.905
182	616	24.9800	562.999
183	625	25.1992	566.092
184	599	24.6374	569.186
185	606	24.6171	572.279
186	524	23.1517	575.372
187	612	24.7386	578.466
188	578	24.2487	581.559
189	571	24.0624	584.653
190	518	22.8910	587.746
191	498	22.4054	590.839
192	545	23.5584	593.933
193	539	23.3024	597.026
194	518	22.9347	600.120
195	551	23.5160	603.213
196	511	22.7376	606.306
197	488	22.2261	609.400
198	549	23.4307	612.493
