# Channel Number	Net Counts	Error
0	0	0.0000
1	0	0.0000
2	95	15.6525
3	2251	95.6295
4	1973	105.4467
5	997	93.1075
6	548	83.1144
7	354	76.3151
8	342	73.8241
9	357	68.5201
10	368	64.2184
11	425	62.1852
12	334	60.4649
13	275	57.2101
14	399	55.2901
15	378	55.3353
16	470	54.1664
17	579	51.9326
18	524	51.5170
19	613	48.8365
20	530	48.0625
21	603	46.4004
22	589	46.3357
23	629	45.5741
24	656	45.5412
25	624	44.6318
26	676	43.7264
27	765	44.0568
28	668	42.8719
29	761	42.5793
30	725	42.3910
31	710	42.3084
32	849	43.0929
33	920	43.8406
34	782	40.8901
35	828	40.8412
36	923	41.6293
37	921	40.9023
38	868	40.5709
39	911	40.7799
40	926	40.4969
41	1038	41.1825
42	990	40.5216
43	983	39.6863
44	1021	39.6106
45	975	38.8458
46	995	38.8458
47	1015	39.9124
48	1142	40.5956
49	1081	38.7685
50	1034	38.5227
51	1105	38.8201
52	1145	38.8201
53	1003	37.0540
54	1082	37.5500
55	1112	37.7359
56	1173	38.6911
57	1208	38.9615
58	1176	38.4187
59	1093	37.1349
60	1154	37.6563
61	1191	37.0540
62	1146	36.8239
63	1154	36.5240
64	1122	36.4417
65	1165	36.3456
66	1137	36.7015
67	1115	36.1801
68	1220	37.0945
69	1139	35.8469
70	1184	36.2767
71	1190	36.0000
72	1240	36.6060
73	1189	36.2629
74	1157	35.2562
75	1193	35.5387
76	1152	35.3553
77	1181	35.3129
78	1185	35.4824
79	1139	34.8281
80	1268	36.4966
81	1176	35.0999
82	1101	34.3948
83	1122	34.4964
84	1171	34.9714
85	1072	33.4963
86	1184	35.0999
87	1148	34.5254
88	1119	33.9853
89	1164	34.6699
90	1118	33.9411
91	1142	34.2929
92	1093	33.6006
93	1016	32.5269
94	1063	32.9697
95	1156	34.3511
96	1194	34.8712
97	1118	33.8526
98	1081	33.1813
99	1014	32.2490
100	1061	32.9393
101	1065	32.8786
102	1070	32.9545
103	1038	32.4345
104	1047	32.6037
105	970	31.2730
106	939	30.8058
107	1015	32.0156
108	957	31.2570
109	938	30.7246
110	992	31.7175
111	950	31.0161
112	955	31.0644
113	969	31.3528
114	910	30.3974
115	907	30.2820
116	905	30.1828
117	875	29.6142
118	834	29.0517
119	843	29.2404
120	897	30.0500
121	818	28.8444
122	804	28.5307
123	839	29.0689
124	787	28.1603
125	789	28.3725
126	766	27.8568
127	762	27.7849
128	742	27.4955
129	703	26.6646
130	743	27.3313
131	651	25.7488
132	688	26.5707
133	703	26.6646
134	666	25.8844
135	625	25.3969
136	685	26.4764
137	720	26.9444
138	624	25.0998
139	633	25.3969
140	617	25.1595
141	552	23.6220
142	623	25.1197
143	590	24.4540
144	555	23.7697
145	520	23.0217
146	530	23.2809
147	541	23.4307
148	502	22.5832
149	526	23.0217
150	502	22.5832
151	481	22.2036
152	499	22.4722
153	488	22.2711
154	448	21.4942
155	458	21.4942
156	452	21.4476
157	387	19.7231
158	429	20.8567
159	395	20.0250
160	455	21.4709
161	399	20.2731
162	370	19.4422
163	341	18.7350
164	386	19.8997
165	352	18.9209
166	356	19.1311
167	328	18.2757
168	339	18.6815
169	331	18.3576
170	324	18.1108
171	314	17.8326
172	275	16.7033
173	271	16.7033
174	250	16.0000
175	229	15.6525
176	241	15.8430
177	271	16.5831
178	214	14.8997
179	223	15.1987
180	180	13.6382
181	214	14.7648
182	189	14.0357
183	178	13.7113
184	172	13.4164
185	152	12.3288
186	155	12.9228
187	136	11.6619
188	189	14.1067
189	141	12.2066
190	130	11.6619
191	144	12.1655
192	111	11.0000
193	135	11.7898
194	109	10.8167
195	98	10.0000
196	106	10.5830
197	76	9.0554
198	93	9.6437
199	91	9.6437
200	91	9.8489
201	76	8.8318
202	71	8.6603
203	50	7.7460
204	68	8.2462
205	55	7.9373
206	56	8.2462
207	45	6.8557
208	60	8.2462
209	43	7.2801
210	43	7.0000
211	46	6.9282
212	33	6.0828
213	30	5.4772
214	31	5.7446
215	25	5.1962
216	34	5.8310
217	27	5.5678
218	24	4.8990
219	18	4.4721
220	20	4.4721
221	13	4.5826
222	6	2.8284
223	6	3.7417
224	6	3.7417
225	9	3.3166
226	9	3.6056
227	10	3.7417
228	6	3.4641
229	6	2.8284
230	3	2.6458
231	6	3.1623
232	2	2.0000
233	0	3.7417
234	4	2.0000
235	6	2.4495
236	3	3.0000
237	2	2.4495
238	0	2.6458
239	0	1.4142
240	2	2.0000
241	2	2.8284
242	1	1.0000
243	0	1.4142
244	0	2.0000
245	1	1.0000
246	0	2.4495
247	1	1.7321
248	0	2.8284
249	0	2.4495
250	2	2.0000
251	1	1.0000
252	0	2.0000
253	0	1.4142
254	0	0.0000
255	0	1.7321
256	0	0.0000
257	0	1.4142
258	2	2.0000
259	0	1.0000
260	1	3.0000
261	0	1.4142
262	0	1.7321
263	0	1.0000
264	1	1.0000
265	0	0.0000
266	0	1.4142
267	3	1.7321
268	0	1.4142
269	1	1.0000
270	1	1.7321
271	0	1.0000
272	0	1.0000
273	3	1.7321
274	1	1.0000
275	1	1.0000
276	1	1.0000
277	0	1.0000
278	1	1.7321
279	1	1.0000
280	0	1.4142
281	0	1.0000
282	0	2.2361
283	1	1.0000
284	2	1.4142
285	0	2.0000
286	0	1.0000
287	0	1.0000
288	0	2.0000
289	3	1.7321
290	0	2.0000
291	0	1.4142
292	0	0.0000
293	0	0.0000
294	0	1.4142
295	0	2.0000
296	0	1.4142
297	0	1.0000
298	0	1.0000
299	0	1.7321
300	0	1.0000
301	0	1.4142
302	2	1.4142
303	0	1.4142
304	0	0.0000
305	2	1.4142
306	0	0.0000
307	0	1.4142
308	0	2.2361
309	0	1.4142
310	1	1.0000
311	0	1.4142
312	0	1.7321
313	0	0.0000
314	0	1.0000
315	0	1.0000
