# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.000
1	0	0.0000	3.093
2	95	15.6525	6.187
3	2251	95.6295	9.280
4	1973	105.4467	12.374
5	997	93.1075	15.467
6	548	83.1144	18.560
7	354	76.3151	21.654
8	342	73.8241	24.747
9	357	68.5201	27.841
10	368	64.2184	30.934
11	425	62.1852	34.027
12	334	60.4649	37.121
13	275	57.2101	40.214
14	399	55.2901	43.308
15	378	55.3353	46.401
16	470	54.1664	49.494
17	579	51.9326	52.588
18	524	51.5170	55.681
19	613	48.8365	58.775
20	530	48.0625	61.868
21	603	46.4004	64.961
22	589	46.3357	68.055
23	629	45.5741	71.148
24	656	45.5412	74.242
25	624	44.6318	77.335
26	676	43.7264	80.428
27	765	44.0568	83.522
28	668	42.8719	86.615
29	761	42.5793	89.709
30	725	42.3910	92.802
31	710	42.3084	95.895
32	849	43.0929	98.989
33	920	43.8406	102.082
34	782	40.8901	105.176
35	828	40.8412	108.269
36	923	41.6293	111.362
37	921	40.9023	114.456
38	868	40.5709	117.549
39	911	40.7799	120.643
40	926	40.4969	123.736
41	1038	41.1825	126.829
42	990	40.5216	129.923
43	983	39.6863	133.016
44	1021	39.6106	136.110
45	975	38.8458	139.203
46	995	38.8458	142.296
47	1015	39.9124	145.390
48	1142	40.5956	148.483
49	1081	38.7685	151.577
50	1034	38.5227	154.670
51	1105	38.8201	157.763
52	1145	38.8201	160.857
53	1003	37.0540	163.950
54	1082	37.5500	167.044
55	1112	37.7359	170.137
56	1173	38.6911	173.230
57	1208	38.9615	176.324
58	1176	38.4187	179.417
59	1093	37.1349	182.511
60	1154	37.6563	185.604
61	1191	37.0540	188.697
62	1146	36.8239	191.791
63	1154	36.5240	194.884
64	1122	36.4417	197.978
65	1165	36.3456	201.071
66	1137	36.7015	204.164
67	1115	36.1801	207.258
68	1220	37.0945	210.351
69	1139	35.8469	213.445
70	1184	36.2767	216.538
71	1190	36.0000	219.631
72	1240	36.6060	222.725
73	1189	36.2629	225.818
74	1157	35.2562	228.912
75	1193	35.5387	232.005
76	1152	35.3553	235.098
77	1181	35.3129	238.192
78	1185	35.4824	241.285
79	1139	34.8281	244.379
80	1268	36.4966	247.472
81	1176	35.0999	250.565
82	1101	34.3948	253.659
83	1122	34.4964	256.752
84	1171	34.9714	259.846
85	1072	33.4963	262.939
86	1184	35.0999	266.032
87	1148	34.5254	269.126
88	1119	33.9853	272.219
89	1164	34.6699	275.313
90	1118	33.9411	278.406
91	1142	34.2929	281.499
92	1093	33.6006	284.593
93	1016	32.5269	287.686
94	1063	32.9697	290.780
95	1156	34.3511	293.873
96	1194	34.8712	296.966
97	1118	33.8526	300.060
98	1081	33.1813	303.153
99	1014	32.2490	306.247
100	1061	32.9393	309.340
101	1065	32.8786	312.433
102	1070	32.9545	315.527
103	1038	32.4345	318.620
104	1047	32.6037	321.714
105	970	31.2730	324.807
106	939	30.8058	327.900
107	1015	32.0156	330.994
108	957	31.2570	334.087
109	938	30.7246	337.181
110	992	31.7175	340.274
111	950	31.0161	343.367
112	955	31.0644	346.461
113	969	31.3528	349.554
114	910	30.3974	352.648
115	907	30.2820	355.741
116	905	30.1828	358.834
117	875	29.6142	361.928
118	834	29.0517	365.021
119	843	29.2404	368.115
120	897	30.0500	371.208
121	818	28.8444	374.301
122	804	28.5307	377.395
123	839	29.0689	380.488
124	787	28.1603	383.582
125	789	28.3725	386.675
126	766	27.8568	389.768
127	762	27.7849	392.862
128	742	27.4955	395.955
129	703	26.6646	399.049
130	743	27.3313	402.142
131	651	25.7488	405.235
132	688	26.5707	408.329
133	703	26.6646	411.422
134	666	25.8844	414.516
135	625	25.3969	417.609
136	685	26.4764	420.702
137	720	26.9444	423.796
138	624	25.0998	426.889
139	633	25.3969	429.983
140	617	25.1595	433.076
141	552	23.6220	436.169
142	623	25.1197	439.263
143	590	24.4540	442.356
144	555	23.7697	445.450
145	520	23.0217	448.543
146	530	23.2809	451.636
147	541	23.4307	454.730
148	502	22.5832	457.823
149	526	23.0217	460.917
150	502	22.5832	464.010
151	481	22.2036	467.103
152	499	22.4722	470.197
153	488	22.2711	473.290
154	448	21.4942	476.384
155	458	21.4942	479.477
156	452	21.4476	482.570
157	387	19.7231	485.664
158	429	20.8567	488.757
159	395	20.0250	491.851
160	455	21.4709	494.944
161	399	20.2731	498.037
162	370	19.4422	501.131
163	341	18.7350	504.224
164	386	19.8997	507.318
165	352	18.9209	510.411
166	356	19.1311	513.504
167	328	18.2757	516.598
168	339	18.6815	519.691
169	331	18.3576	522.785
170	324	18.1108	525.878
171	314	17.8326	528.971
172	275	16.7033	532.065
173	271	16.7033	535.158
174	250	16.0000	538.252
175	229	15.6525	541.345
176	241	15.8430	544.438
177	271	16.5831	547.532
178	214	14.8997	550.625
179	223	15.1987	553.719
180	180	13.6382	556.812
181	214	14.7648	559.905
182	189	14.0357	562.999
183	178	13.7113	566.092
184	172	13.4164	569.186
185	152	12.3288	572.279
186	155	12.9228	575.372
187	136	11.6619	578.466
188	189	14.1067	581.559
189	141	12.2066	584.653
190	130	11.6619	587.746
191	144	12.1655	590.839
192	111	11.0000	593.933
193	135	11.7898	597.026
194	109	10.8167	600.120
195	98	10.0000	603.213
196	106	10.5830	606.306
197	76	9.0554	609.400
198	93	9.6437	612.493
199	91	9.6437	615.587
200	91	9.8489	618.680
201	76	8.8318	621.773
202	71	8.6603	624.867
203	50	7.7460	627.960
204	68	8.2462	631.054
205	55	7.9373	634.147
206	56	8.2462	637.240
207	45	6.8557	640.334
208	60	8.2462	643.427
209	43	7.2801	646.521
210	43	7.0000	649.614
211	46	6.9282	652.707
212	33	6.0828	655.801
213	30	5.4772	658.894
214	31	5.7446	661.988
215	25	5.1962	665.081
216	34	5.8310	668.174
217	27	5.5678	671.268
218	24	4.8990	674.361
219	18	4.4721	677.455
220	20	4.4721	680.548
221	13	4.5826	683.641
222	6	2.8284	686.735
223	6	3.7417	689.828
224	6	3.7417	692.922
225	9	3.3166	696.015
226	9	3.6056	699.108
227	10	3.7417	702.202
228	6	3.4641	705.295
229	6	2.8284	708.389
230	3	2.6458	711.482
231	6	3.1623	714.575
232	2	2.0000	717.669
233	0	3.7417	720.762
234	4	2.0000	723.856
235	6	2.4495	726.949
236	3	3.0000	730.042
237	2	2.4495	733.136
238	0	2.6458	736.229
239	0	1.4142	739.323
240	2	2.0000	742.416
241	2	2.8284	745.509
242	1	1.0000	748.603
243	0	1.4142	751.696
244	0	2.0000	754.790
245	1	1.0000	757.883
246	0	2.4495	760.976
247	1	1.7321	764.070
248	0	2.8284	767.163
249	0	2.4495	770.257
250	2	2.0000	773.350
251	1	1.0000	776.443
252	0	2.0000	779.537
253	0	1.4142	782.630
254	0	0.0000	785.724
255	0	1.7321	788.817
256	0	0.0000	791.910
257	0	1.4142	795.004
258	2	2.0000	798.097
259	0	1.0000	801.191
260	1	3.0000	804.284
261	0	1.4142	807.377
262	0	1.7321	810.471
263	0	1.0000	813.564
264	1	1.0000	816.658
265	0	0.0000	819.751
266	0	1.4142	822.844
267	3	1.7321	825.938
268	0	1.4142	829.031
269	1	1.0000	832.125
270	1	1.7321	835.218
271	0	1.0000	838.311
272	0	1.0000	841.405
273	3	1.7321	844.498
274	1	1.0000	847.592
275	1	1.0000	850.685
276	1	1.0000	853.778
277	0	1.0000	856.872
278	1	1.7321	859.965
279	1	1.0000	863.059
280	0	1.4142	866.152
281	0	1.0000	869.245
282	0	2.2361	872.339
283	1	1.0000	875.432
284	2	1.4142	878.526
285	0	2.0000	881.619
286	0	1.0000	884.712
287	0	1.0000	887.806
288	0	2.0000	890.899
289	3	1.7321	893.993
290	0	2.0000	897.086
291	0	1.4142	900.179
292	0	0.0000	903.273
293	0	0.0000	906.366
294	0	1.4142	909.460
295	0	2.0000	912.553
296	0	1.4142	915.646
297	0	1.0000	918.740
298	0	1.0000	921.833
299	0	1.7321	924.927
300	0	1.0000	928.020
301	0	1.4142	931.113
302	2	1.4142	934.207
303	0	1.4142	937.300
304	0	0.0000	940.394
305	2	1.4142	943.487
306	0	0.0000	946.580
307	0	1.4142	949.674
308	0	2.2361	952.767
309	0	1.4142	955.861
310	1	1.0000	958.954
311	0	1.4142	962.047
312	0	1.7321	965.141
313	0	0.0000	968.234
314	0	1.0000	971.328
315	0	1.0000	974.421
316	0	0.0000	977.514
317	1	1.0000	980.608
318	0	1.7321	983.701
319	2	1.4142	986.795
320	0	1.0000	989.888
321	0	1.0000	992.981
322	0	1.0000	996.075
323	0	0.0000	999.168
324	0	0.0000	1002.262
325	1	1.0000	1005.355
326	1	1.0000	1008.448
327	0	0.0000	1011.542
328	0	0.0000	1014.635
329	1	1.0000	1017.729
330	1	1.0000	1020.822
331	0	0.0000	1023.915
332	1	1.0000	1027.009
333	0	0.0000	1030.102
334	0	0.0000	1033.196
335	0	0.0000	1036.289
336	1	1.0000	1039.382
337	1	1.0000	1042.476
338	0	1.4142	1045.569
339	0	0.0000	1048.663
340	1	1.0000	1051.756
341	0	0.0000	1054.849
342	0	1.0000	1057.943
343	0	0.0000	1061.036
344	1	1.0000	1064.130
345	0	0.0000	1067.223
346	0	0.0000	1070.316
347	0	1.4142	1073.410
348	0	1.0000	1076.503
349	1	1.0000	1079.597
350	0	1.0000	1082.690
351	1	1.0000	1085.783
352	1	1.0000	1088.877
353	1	1.0000	1091.970
354	0	0.0000	1095.064
355	0	0.0000	1098.157
356	0	1.0000	1101.250
357	0	1.4142	1104.344
358	0	1.0000	1107.437
359	0	1.0000	1110.531
360	1	1.0000	1113.624
361	0	0.0000	1116.717
362	1	1.0000	1119.811
363	4	2.0000	1122.904
364	0	1.0000	1125.998
365	0	0.0000	1129.091
366	0	1.0000	1132.184
367	0	0.0000	1135.278
368	0	0.0000	1138.371
369	0	1.0000	1141.465
370	0	1.0000	1144.558
371	0	0.0000	1147.651
372	0	0.0000	1150.745
373	0	1.0000	1153.838
374	0	0.0000	1156.932
375	0	0.0000	1160.025
376	0	0.0000	1163.118
377	1	1.7321	1166.212
378	1	1.0000	1169.305
379	0	0.0000	1172.399
380	1	1.0000	1175.492
381	0	1.0000	1178.585
382	1	1.0000	1181.679
383	0	0.0000	1184.772
384	0	1.4142	1187.866
385	0	1.0000	1190.959
386	0	0.0000	1194.052
387	1	1.0000	1197.146
388	0	0.0000	1200.239
389	1	1.0000	1203.333
390	0	0.0000	1206.426
391	0	0.0000	1209.519
392	1	1.0000	1212.613
393	1	1.0000	1215.706
394	0	0.0000	1218.800
395	0	1.0000	1221.893
396	0	0.0000	1224.986
397	1	1.0000	1228.080
398	1	1.0000	1231.173
399	0	0.0000	1234.267
400	0	0.0000	1237.360
401	0	0.0000	1240.453
402	1	1.0000	1243.547
403	0	1.0000	1246.640
404	0	0.0000	1249.734
405	0	0.0000	1252.827
406	0	0.0000	1255.920
407	0	0.0000	1259.014
408	1	1.0000	1262.107
409	0	0.0000	1265.201
410	0	0.0000	1268.294
411	0	0.0000	1271.387
412	0	0.0000	1274.481
413	0	0.0000	1277.574
414	0	0.0000	1280.668
415	0	0.0000	1283.761
416	0	0.0000	1286.854
417	0	0.0000	1289.948
418	0	0.0000	1293.041
419	0	0.0000	1296.135
420	0	0.0000	1299.228
421	0	0.0000	1302.321
422	0	0.0000	1305.415
423	0	0.0000	1308.508
424	0	0.0000	1311.602
425	0	0.0000	1314.695
426	0	0.0000	1317.788
427	0	0.0000	1320.882
428	0	0.0000	1323.975
429	0	0.0000	1327.069
430	1	1.0000	1330.162
431	0	0.0000	1333.255
432	0	0.0000	1336.349
433	0	0.0000	1339.442
434	0	0.0000	1342.536
435	0	0.0000	1345.629
436	0	0.0000	1348.722
437	0	0.0000	1351.816
438	1	1.0000	1354.909
439	0	0.0000	1358.003
440	0	0.0000	1361.096
441	0	0.0000	1364.189
442	0	0.0000	1367.283
443	0	0.0000	1370.376
444	0	0.0000	1373.470
445	0	0.0000	1376.563
446	0	0.0000	1379.656
447	0	0.0000	1382.750
448	0	0.0000	1385.843
449	0	0.0000	1388.937
450	0	0.0000	1392.030
451	0	0.0000	1395.123
452	0	0.0000	1398.217
453	0	1.0000	1401.310
454	0	0.0000	1404.404
455	0	0.0000	1407.497
456	0	0.0000	1410.590
457	0	0.0000	1413.684
458	0	0.0000	1416.777
459	1	1.7321	1419.871
460	0	0.0000	1422.964
461	0	0.0000	1426.057
462	0	1.0000	1429.151
463	0	0.0000	1432.244
464	0	1.0000	1435.338
465	0	0.0000	1438.431
466	0	0.0000	1441.524
467	0	0.0000	1444.618
468	0	0.0000	1447.711
469	0	0.0000	1450.805
470	0	0.0000	1453.898
471	0	0.0000	1456.991
472	0	0.0000	1460.085
473	0	0.0000	1463.178
474	0	0.0000	1466.272
475	0	0.0000	1469.365
476	0	0.0000	1472.458
477	0	0.0000	1475.552
478	0	1.0000	1478.645
479	0	0.0000	1481.739
480	0	0.0000	1484.832
481	0	0.0000	1487.925
482	0	0.0000	1491.019
483	0	0.0000	1494.112
484	0	0.0000	1497.206
485	0	0.0000	1500.299
486	0	0.0000	1503.392
487	0	0.0000	1506.486
488	0	0.0000	1509.579
489	0	0.0000	1512.673
490	0	0.0000	1515.766
491	0	0.0000	1518.859
492	0	0.0000	1521.953
493	0	0.0000	1525.046
494	0	0.0000	1528.140
495	0	0.0000	1531.233
496	0	0.0000	1534.326
497	0	0.0000	1537.420
498	0	0.0000	1540.513
499	0	0.0000	1543.607
500	0	0.0000	1546.700
501	0	0.0000	1549.793
502	0	1.0000	1552.887
503	0	0.0000	1555.980
504	0	0.0000	1559.074
505	0	0.0000	1562.167
506	0	0.0000	1565.260
507	0	0.0000	1568.354
508	0	0.0000	1571.447
509	0	0.0000	1574.541
510	0	0.0000	1577.634
511	0	1.7321	1580.727
