n_2	N_2
0	0
1	1
2	270
3	10722
4	14097
5	12192
6	11264
7	11937
8	14157
9	15105
10	14480
11	12790
12	10854
13	9083
14	8275
15	8014
16	8386
17	7907
18	7252
19	6533
20	5987
21	5095
22	4089
23	3303
24	3016
25	2600
26	2365
27	2276
28	2122
29	2151
30	2066
31	2069
32	2123
33	2062
34	1877
35	1897
36	1942
37	1884
38	1808
39	1857
40	1842
41	1723
42	1793
43	1804
44	1751
45	1757
46	1612
47	1653
48	1772
49	1749
50	1654
51	1586
52	1637
53	1681
54	1556
55	1512
56	1487
57	1499
58	1443
59	1412
60	1450
61	1398
62	1461
63	1453
64	1375
65	1420
66	1377
67	1358
68	1300
69	1276
70	1265
71	1202
72	1179
73	1104
74	1140
75	1056
76	973
77	962
78	1011
79	985
80	958
81	925
82	941
83	952
84	923
85	897
86	936
87	933
88	907
89	847
90	845
91	752
92	820
93	733
94	689
95	783
96	851
97	807
98	862
99	903
100	945
101	1023
102	1044
103	1128
104	1112
105	1063
106	1023
107	1064
108	949
109	889
110	828
111	747
112	724
113	645
114	529
115	538
116	436
117	393
118	368
119	306
120	300
121	255
122	192
123	161
124	138
125	117
126	111
127	82
128	75
129	41
130	50
131	38
132	27
133	20
134	20
135	24
136	8
137	14
138	15
139	10
140	4
141	8
142	6
143	5
144	5
145	6
146	5
147	8
148	4
149	2
150	3
151	6
152	4
153	5
154	5
155	4
156	3
157	5
158	5
159	7
160	2
161	3
162	5
163	5
164	4
165	5
166	7
167	4
168	4
169	3
170	2
171	7
172	7
173	5
174	1
175	4
176	5
177	2
178	5
179	3
180	4
181	1
182	2
183	3
184	3
185	1
186	1
187	3
188	4
189	1
190	0
191	4
192	0
193	3
194	1
195	3
196	1
197	5
198	2
199	2
200	2
201	4
202	3
203	0
204	4
205	4
206	3
207	3
208	1
209	3
210	1
211	5
212	1
213	1
214	2
215	4
216	2
217	2
218	2
219	2
220	1
221	3
222	4
223	1
224	1
225	4
226	2
227	1
228	2
229	3
230	6
231	4
232	2
233	3
234	2
235	0
236	3
237	0
238	1
239	2
240	0
241	1
242	2
243	0
244	1
245	0
246	0
247	2
248	4
249	1
250	1
251	1
252	0
253	3
254	1
255	2
256	2
257	0
258	2
259	1
260	1
261	2
262	0
263	0
264	0
265	0
266	2
267	2
268	0
269	2
270	1
271	0
272	0
273	3
274	2
275	0
276	3
277	0
278	0
279	1
280	1
281	1
282	0
283	1
284	0
285	0
286	0
287	1
288	0
289	0
290	0
291	1
292	0
293	1
294	1
295	1
296	0
297	0
298	0
299	1
300	1
301	1
302	0
303	3
304	0
305	0
306	0
307	0
308	0
309	1
310	1
311	0
312	0
313	1
314	0
315	1
316	0
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	3
327	0
328	0
329	0
330	0
331	0
332	1
333	1
334	0
335	0
336	1
337	0
338	1
339	1
340	0
341	0
342	0
343	0
344	0
345	0
346	1
347	1
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	1
359	0
360	0
361	0
362	0
363	0
364	1
365	2
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	1
384	0
385	0
386	1
387	0
388	1
389	0
390	0
391	0
392	1
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	0
436	0
437	0
438	1
439	2
440	0
441	1
442	0
443	0
444	0
445	0
446	0
447	1
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	1
459	0
460	0
461	0
462	0
463	0
464	1
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	1
488	0
489	1
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
