E_2 / keV	N_2
0.0	0
3.0	1
6.0	270
9.0	10722
12.0	14097
15.0	12192
18.0	11264
21.0	11937
24.0	14157
27.0	15105
30.0	14480
33.0	12790
36.0	10854
39.0	9083
42.0	8275
45.0	8014
48.0	8386
51.0	7907
54.0	7252
57.0	6533
60.0	5987
63.0	5095
66.0	4089
69.0	3303
72.0	3016
75.0	2600
78.0	2365
81.0	2276
84.0	2122
87.0	2151
90.0	2066
93.0	2069
96.0	2123
99.0	2062
102.0	1877
105.0	1897
108.0	1942
111.0	1884
114.0	1808
117.0	1857
120.0	1842
123.0	1723
126.0	1793
129.0	1804
132.0	1751
135.0	1757
138.0	1612
141.0	1653
144.0	1772
147.0	1749
150.0	1654
153.0	1586
156.0	1637
159.0	1681
162.0	1556
165.0	1512
168.0	1487
171.0	1499
174.0	1443
177.0	1412
180.0	1450
183.0	1398
186.0	1461
189.0	1453
192.0	1375
195.0	1420
198.0	1377
201.0	1358
204.0	1300
207.0	1276
210.0	1265
213.0	1202
216.0	1179
219.0	1104
222.0	1140
225.0	1056
228.0	973
231.0	962
234.0	1011
237.0	985
240.0	958
243.0	925
246.0	941
249.0	952
252.0	923
255.0	897
258.0	936
261.0	933
264.0	907
267.0	847
270.0	845
273.0	752
276.0	820
279.0	733
282.0	689
285.0	783
288.0	851
291.0	807
294.0	862
297.0	903
300.0	945
303.0	1023
306.0	1044
309.0	1128
312.0	1112
315.0	1063
318.0	1023
321.0	1064
324.0	949
327.0	889
330.0	828
333.0	747
336.0	724
339.0	645
342.0	529
345.0	538
348.0	436
351.0	393
354.0	368
357.0	306
360.0	300
363.0	255
366.0	192
369.0	161
372.0	138
375.0	117
378.0	111
381.0	82
384.0	75
387.0	41
390.0	50
393.0	38
396.0	27
399.0	20
402.0	20
405.0	24
408.0	8
411.0	14
414.0	15
417.0	10
420.0	4
423.0	8
426.0	6
429.0	5
432.0	5
435.0	6
438.0	5
441.0	8
444.0	4
447.0	2
450.0	3
453.0	6
456.0	4
459.0	5
462.0	5
465.0	4
468.0	3
471.0	5
474.0	5
477.0	7
480.0	2
483.0	3
486.0	5
489.0	5
492.0	4
495.0	5
498.0	7
501.0	4
504.0	4
507.0	3
510.0	2
513.0	7
516.0	7
519.0	5
522.0	1
525.0	4
528.0	5
531.0	2
534.0	5
537.0	3
540.0	4
543.0	1
546.0	2
549.0	3
552.0	3
555.0	1
558.0	1
561.0	3
564.0	4
567.0	1
570.0	0
573.0	4
576.0	0
579.0	3
582.0	1
585.0	3
588.0	1
591.0	5
594.0	2
597.0	2
600.0	2
603.0	4
606.0	3
609.0	0
612.0	4
615.0	4
618.0	3
621.0	3
624.0	1
627.0	3
630.0	1
633.0	5
636.0	1
639.0	1
642.0	2
645.0	4
648.0	2
651.0	2
654.0	2
657.0	2
660.0	1
663.0	3
666.0	4
669.0	1
672.0	1
675.0	4
678.0	2
681.0	1
684.0	2
687.0	3
690.0	6
693.0	4
696.0	2
699.0	3
702.0	2
705.0	0
708.0	3
711.0	0
714.0	1
717.0	2
720.0	0
723.0	1
726.0	2
729.0	0
732.0	1
735.0	0
738.0	0
741.0	2
744.0	4
747.0	1
750.0	1
753.0	1
756.0	0
759.0	3
762.0	1
765.0	2
768.0	2
771.0	0
774.0	2
777.0	1
780.0	1
783.0	2
786.0	0
789.0	0
792.0	0
795.0	0
798.0	2
801.0	2
804.0	0
807.0	2
810.0	1
813.0	0
816.0	0
819.0	3
822.0	2
825.0	0
828.0	3
831.0	0
834.0	0
837.0	1
840.0	1
843.0	1
846.0	0
849.0	1
852.0	0
855.0	0
858.0	0
861.0	1
864.0	0
867.0	0
870.0	0
873.0	1
876.0	0
879.0	1
882.0	1
885.0	1
888.0	0
891.0	0
894.0	0
897.0	1
900.0	1
903.0	1
906.0	0
909.0	3
912.0	0
915.0	0
918.0	0
921.0	0
924.0	0
927.0	1
930.0	1
933.0	0
936.0	0
939.0	1
942.0	0
945.0	1
948.0	0
951.0	0
954.0	1
957.0	0
960.0	0
963.0	0
966.0	0
969.0	0
972.0	0
975.0	0
978.0	3
981.0	0
984.0	0
987.0	0
990.0	0
993.0	0
996.0	1
999.0	1
1002.0	0
1005.0	0
1008.0	1
1011.0	0
1014.0	1
1017.0	1
1020.0	0
1023.0	0
1026.0	0
1029.0	0
1032.0	0
