n_1	N_1
0	0
1	5
2	533
3	8230
4	8852
5	7188
6	6024
7	5640
8	5731
9	5611
10	5144
11	5225
12	5268
13	5290
14	5107
15	5280
16	5581
17	5533
18	5429
19	5607
20	5825
21	5728
22	5891
23	5973
24	6257
25	6285
26	6070
27	6201
28	6356
29	6468
30	6518
31	6743
32	7162
33	7004
34	6717
35	6822
36	6843
37	6897
38	6836
39	7139
40	7251
41	7529
42	6994
43	7223
44	7193
45	7136
46	7080
47	7401
48	7450
49	7408
50	7216
51	7208
52	7171
53	7179
54	7060
55	7147
56	7226
57	7205
58	7010
59	6982
60	6835
61	6862
62	6838
63	6982
64	7141
65	6900
66	6603
67	6681
68	6541
69	6562
70	6470
71	6633
72	6641
73	6460
74	6206
75	6235
76	6141
77	6164
78	5988
79	6034
80	6221
81	6142
82	5833
83	5689
84	5775
85	5742
86	5569
87	5479
88	5606
89	5504
90	5188
91	5073
92	5113
93	4937
94	4949
95	4884
96	5228
97	5046
98	4585
99	4551
100	4512
101	4285
102	4349
103	4304
104	4319
105	4079
106	3988
107	3886
108	3868
109	3886
110	3681
111	3683
112	3787
113	3590
114	3376
115	3328
116	3234
117	3063
118	2992
119	3054
120	3052
121	2845
122	2852
123	2649
124	2656
125	2585
126	2455
127	2495
128	2521
129	2366
130	2226
131	2209
132	2233
133	2089
134	2105
135	1907
136	1948
137	1909
138	1855
139	1815
140	1700
141	1719
142	1632
143	1583
144	1714
145	1598
146	1474
147	1508
148	1418
149	1445
150	1383
151	1452
152	1376
153	1361
154	1325
155	1410
156	1305
157	1297
158	1274
159	1268
160	1366
161	1331
162	1159
163	1135
164	1187
165	1153
166	1162
167	1163
168	1240
169	1248
170	1154
171	1141
172	1128
173	1119
174	1080
175	1194
176	1316
177	1241
178	1219
179	1343
180	1320
181	1413
182	1397
183	1473
184	1638
185	1620
186	1695
187	1735
188	1749
189	1956
190	2059
191	2164
192	2367
193	2437
194	2395
195	2498
196	2656
197	2701
198	2808
199	2920
200	3143
201	3038
202	3003
203	3099
204	3079
205	3028
206	2918
207	2934
208	3000
209	2738
210	2560
211	2458
212	2345
213	2204
214	2014
215	1886
216	1774
217	1622
218	1442
219	1268
220	1117
221	1025
222	900
223	829
224	800
225	691
226	594
227	483
228	446
229	357
230	326
231	294
232	236
233	201
234	176
235	127
236	137
237	106
238	103
239	75
240	78
241	70
242	68
243	76
244	60
245	39
246	44
247	63
248	43
249	42
250	31
251	43
252	52
253	27
254	29
255	46
256	33
257	24
258	32
259	38
260	30
261	34
262	30
263	26
264	34
265	35
266	22
267	22
268	19
269	25
270	27
271	20
272	24
273	30
274	21
275	25
276	18
277	18
278	20
279	17
280	19
281	15
282	19
283	19
284	17
285	17
286	13
287	11
288	13
289	20
290	9
291	10
292	11
293	12
294	18
295	11
296	12
297	13
298	1
299	14
300	5
301	12
302	11
303	4
304	12
305	10
306	8
307	8
308	5
309	12
310	7
311	8
312	3
313	5
314	6
315	6
316	7
317	6
318	0
319	4
320	5
321	3
322	2
323	2
324	3
325	5
326	3
327	3
328	3
329	4
330	4
331	2
332	2
333	2
334	0
335	4
336	2
337	1
338	2
339	1
340	3
341	2
342	1
343	2
344	1
345	1
346	1
347	1
348	2
349	1
350	2
351	0
352	0
353	2
354	1
355	0
356	0
357	1
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	1
370	0
371	0
372	1
373	4
374	1
375	0
376	0
377	1
378	1
379	0
380	0
381	1
382	0
383	0
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	2
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	2
416	0
417	0
418	0
419	1
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	1
466	0
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	0
493	1
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	0
511	0
