n_4	N_4
0	0
1	2
2	304
3	9640
4	11414
5	9954
6	9055
7	8938
8	9528
9	9520
10	9722
11	10394
12	11067
13	11316
14	11470
15	11468
16	12264
17	11882
18	10809
19	10223
20	9071
21	8056
22	6994
23	6578
24	6411
25	6270
26	6192
27	6416
28	7049
29	7637
30	8266
31	8849
32	9824
33	9698
34	8520
35	8327
36	7405
37	6517
38	5443
39	4613
40	3987
41	3385
42	2965
43	2612
44	2650
45	2412
46	2388
47	2345
48	2469
49	2379
50	2248
51	2278
52	2211
53	2217
54	2154
55	2203
56	2351
57	2257
58	2220
59	2191
60	2287
61	2236
62	2235
63	2244
64	2238
65	2134
66	2054
67	2083
68	1974
69	1953
70	1873
71	1945
72	1925
73	1861
74	1784
75	1840
76	1786
77	1711
78	1688
79	1750
80	1770
81	1671
82	1636
83	1587
84	1672
85	1587
86	1656
87	1641
88	1668
89	1646
90	1590
91	1557
92	1590
93	1602
94	1494
95	1577
96	1739
97	1688
98	1489
99	1493
100	1494
101	1401
102	1423
103	1369
104	1451
105	1399
106	1245
107	1286
108	1289
109	1277
110	1258
111	1229
112	1246
113	1209
114	1251
115	1191
116	1217
117	1119
118	1117
119	1090
120	1121
121	1109
122	1055
123	1046
124	1095
125	1073
126	961
127	966
128	975
129	971
130	987
131	933
132	1026
133	915
134	945
135	918
136	983
137	986
138	911
139	887
140	858
141	855
142	904
143	843
144	818
145	893
146	830
147	799
148	868
149	863
150	852
151	807
152	835
153	774
154	782
155	781
156	773
157	761
158	743
159	715
160	781
161	789
162	723
163	727
164	728
165	734
166	674
167	724
168	690
169	688
170	670
171	676
172	670
173	642
174	669
175	663
176	710
177	617
178	618
179	652
180	597
181	603
182	620
183	630
184	603
185	606
186	530
187	612
188	583
189	575
190	521
191	500
192	550
193	541
194	522
195	552
196	514
197	491
198	549
199	473
200	514
201	538
202	476
203	453
204	484
205	470
206	440
207	424
208	518
209	443
210	412
211	434
212	449
213	448
214	412
215	435
216	458
217	396
218	399
219	423
220	431
221	384
222	372
223	412
224	393
225	359
226	412
227	333
228	400
229	352
230	326
231	364
232	356
233	371
234	345
235	350
236	342
237	328
238	349
239	302
240	361
241	326
242	279
243	305
244	327
245	327
246	314
247	321
248	312
249	299
250	289
251	278
252	307
253	308
254	264
255	321
256	258
257	244
258	255
259	245
260	278
261	266
262	254
263	260
264	279
265	247
266	246
267	237
268	240
269	250
270	257
271	236
272	262
273	229
274	226
275	195
276	222
277	221
278	210
279	225
280	210
281	199
282	208
283	208
284	216
285	195
286	201
287	205
288	203
289	187
290	198
291	194
292	177
293	171
294	157
295	203
296	215
297	185
298	172
299	148
300	175
301	166
302	167
303	168
304	170
305	167
306	152
307	166
308	166
309	135
310	165
311	136
312	146
313	145
314	157
315	152
316	147
317	130
318	123
319	137
320	144
321	127
322	112
323	122
324	119
325	128
326	131
327	120
328	119
329	107
330	99
331	109
332	121
333	132
334	82
335	112
336	105
337	82
338	94
339	88
340	83
341	72
342	89
343	112
344	85
345	94
346	85
347	95
348	69
349	94
350	74
351	82
352	81
353	78
354	91
355	82
356	68
357	79
358	83
359	74
360	70
361	65
362	79
363	86
364	62
365	81
366	71
367	92
368	63
369	78
370	63
371	72
372	66
373	58
374	56
375	58
376	52
377	71
378	46
379	66
380	37
381	54
382	58
383	53
384	60
385	62
386	51
387	50
388	46
389	38
390	34
391	37
392	50
393	48
394	37
395	38
396	41
397	43
398	43
399	51
400	41
401	29
402	23
403	30
404	25
405	29
406	28
407	24
408	32
409	50
410	33
411	36
412	33
413	30
414	28
415	23
416	14
417	25
418	19
419	29
420	19
421	28
422	24
423	24
424	17
425	24
426	20
427	18
428	15
429	22
430	19
431	22
432	17
433	17
434	17
435	10
436	10
437	16
438	16
439	15
440	12
441	6
442	13
443	13
444	13
445	13
446	11
447	5
448	9
449	8
450	7
451	12
452	5
453	10
454	10
455	8
456	7
457	7
458	5
459	6
460	7
461	6
462	8
463	10
464	5
465	6
466	8
467	3
468	6
469	7
470	6
471	7
472	3
473	7
474	5
475	5
476	4
477	8
478	7
479	2
480	6
481	8
482	2
483	5
484	2
485	5
486	5
487	0
488	1
489	4
490	2
491	5
492	1
493	2
494	2
495	3
496	1
497	5
498	3
499	0
500	4
501	0
502	0
503	1
504	1
505	1
506	1
507	0
508	1
509	1
510	1
511	4
