E_4 / keV	N_4
0.0	0
3.0	2
6.0	304
9.0	9640
12.0	11414
15.0	9954
18.0	9055
21.0	8938
24.0	9528
27.0	9520
30.0	9722
33.0	10394
36.0	11067
39.0	11316
42.0	11470
45.0	11468
48.0	12264
51.0	11882
54.0	10809
57.0	10223
60.0	9071
63.0	8056
66.0	6994
69.0	6578
72.0	6411
75.0	6270
78.0	6192
81.0	6416
84.0	7049
87.0	7637
90.0	8266
93.0	8849
96.0	9824
99.0	9698
102.0	8520
105.0	8327
108.0	7405
111.0	6517
114.0	5443
117.0	4613
120.0	3987
123.0	3385
126.0	2965
129.0	2612
132.0	2650
135.0	2412
138.0	2388
141.0	2345
144.0	2469
147.0	2379
150.0	2248
153.0	2278
156.0	2211
159.0	2217
162.0	2154
165.0	2203
168.0	2351
171.0	2257
174.0	2220
177.0	2191
180.0	2287
183.0	2236
186.0	2235
189.0	2244
192.0	2238
195.0	2134
198.0	2054
201.0	2083
204.0	1974
207.0	1953
210.0	1873
213.0	1945
216.0	1925
219.0	1861
222.0	1784
225.0	1840
228.0	1786
231.0	1711
234.0	1688
237.0	1750
240.0	1770
243.0	1671
246.0	1636
249.0	1587
252.0	1672
255.0	1587
258.0	1656
261.0	1641
264.0	1668
267.0	1646
270.0	1590
273.0	1557
276.0	1590
279.0	1602
282.0	1494
285.0	1577
288.0	1739
291.0	1688
294.0	1489
297.0	1493
300.0	1494
303.0	1401
306.0	1423
309.0	1369
312.0	1451
315.0	1399
318.0	1245
321.0	1286
324.0	1289
327.0	1277
330.0	1258
333.0	1229
336.0	1246
339.0	1209
342.0	1251
345.0	1191
348.0	1217
351.0	1119
354.0	1117
357.0	1090
360.0	1121
363.0	1109
366.0	1055
369.0	1046
372.0	1095
375.0	1073
378.0	961
381.0	966
384.0	975
387.0	971
390.0	987
393.0	933
396.0	1026
399.0	915
402.0	945
405.0	918
408.0	983
411.0	986
414.0	911
417.0	887
420.0	858
423.0	855
426.0	904
429.0	843
432.0	818
435.0	893
438.0	830
441.0	799
444.0	868
447.0	863
450.0	852
453.0	807
456.0	835
459.0	774
462.0	782
465.0	781
468.0	773
471.0	761
474.0	743
477.0	715
480.0	781
483.0	789
486.0	723
489.0	727
492.0	728
495.0	734
498.0	674
501.0	724
504.0	690
507.0	688
510.0	670
513.0	676
516.0	670
519.0	642
522.0	669
525.0	663
528.0	710
531.0	617
534.0	618
537.0	652
540.0	597
543.0	603
546.0	620
549.0	630
552.0	603
555.0	606
558.0	530
561.0	612
564.0	583
567.0	575
570.0	521
573.0	500
576.0	550
579.0	541
582.0	522
585.0	552
