n_1	N_1
0	0
1	0
2	75
3	3447
4	4573
5	3836
6	3180
7	2735
8	2554
9	2169
10	1878
11	1721
12	1661
13	1499
14	1329
15	1342
16	1232
17	1059
18	1065
19	886
20	890
21	775
22	779
23	724
24	709
25	684
26	618
27	588
28	585
29	526
30	536
31	540
32	504
33	501
34	445
35	420
36	405
37	376
38	389
39	376
40	357
41	329
42	326
43	296
44	274
45	267
46	257
47	289
48	253
49	211
50	225
51	201
52	181
53	185
54	164
55	156
56	162
57	155
58	150
59	143
60	132
61	91
62	105
63	90
64	103
65	78
66	105
67	97
68	78
69	73
70	66
71	53
72	50
73	63
74	43
75	35
76	49
77	33
78	37
79	37
80	32
81	28
82	41
83	34
84	26
85	25
86	24
87	22
88	18
89	19
90	17
91	17
92	18
93	21
94	12
95	12
96	11
97	14
98	10
99	13
100	12
101	8
102	8
103	7
104	8
105	4
106	5
107	5
108	10
109	3
110	7
111	6
112	5
113	7
114	7
115	5
116	3
117	1
118	5
119	6
120	3
121	7
122	5
123	3
124	3
125	8
126	5
127	5
128	7
129	4
130	2
131	6
132	9
133	4
134	2
135	10
136	8
137	3
138	3
139	6
140	8
141	3
142	4
143	4
144	5
145	5
146	6
147	4
148	4
149	2
150	4
151	6
152	3
153	4
154	7
155	2
156	4
157	1
158	3
159	3
160	3
161	6
162	4
163	5
164	5
165	3
166	5
167	3
168	5
169	3
170	2
171	2
172	2
173	4
174	3
175	8
176	5
177	2
178	4
179	4
180	3
181	2
182	4
183	5
184	4
185	0
186	6
187	0
188	5
189	4
190	3
191	2
192	5
193	2
194	4
195	1
196	3
197	3
198	0
199	1
200	3
201	1
202	2
203	5
204	0
205	4
206	6
207	1
208	4
209	5
210	3
211	1
212	2
213	0
214	1
215	1
216	0
217	2
218	0
219	1
220	0
221	4
222	1
223	4
224	4
225	1
226	2
227	2
228	3
229	1
230	2
231	2
232	1
233	7
234	0
235	0
236	3
237	2
238	5
239	1
240	1
241	3
242	0
243	2
244	3
245	0
246	4
247	1
248	4
249	3
250	1
251	0
252	3
253	1
254	0
255	2
256	0
257	1
258	1
259	1
260	4
261	1
262	3
263	1
264	0
265	0
266	2
267	0
268	2
269	0
270	1
271	1
272	1
273	0
274	0
275	0
276	0
277	1
278	1
279	0
280	1
281	1
282	3
283	0
284	0
285	3
286	1
287	1
288	2
289	0
290	2
291	2
292	0
293	0
294	1
295	2
296	1
297	1
298	1
299	2
300	1
301	2
302	0
303	1
304	0
305	0
306	0
307	2
308	3
309	1
310	0
311	1
312	3
313	0
314	1
315	1
316	0
317	0
318	3
319	0
320	1
321	1
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	2
348	1
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	1
357	1
358	1
359	1
360	0
361	0
362	0
363	0
364	1
365	0
366	1
367	0
368	0
369	1
370	1
371	0
372	0
373	1
374	0
375	0
376	0
377	1
378	0
379	0
380	0
381	1
382	0
383	0
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	1
454	0
455	0
456	0
457	0
458	0
459	1
460	0
461	0
462	1
463	0
464	1
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	1
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
