E_1 / keV	N_1
0.0	0
3.0	0
6.0	75
9.0	3447
12.0	4573
15.0	3836
18.0	3180
21.0	2735
24.0	2554
27.0	2169
30.0	1878
33.0	1721
36.0	1661
39.0	1499
42.0	1329
45.0	1342
48.0	1232
51.0	1059
54.0	1065
57.0	886
60.0	890
63.0	775
66.0	779
69.0	724
72.0	709
75.0	684
78.0	618
81.0	588
84.0	585
87.0	526
90.0	536
93.0	540
96.0	504
99.0	501
102.0	445
105.0	420
108.0	405
111.0	376
114.0	389
117.0	376
120.0	357
123.0	329
126.0	326
129.0	296
132.0	274
135.0	267
138.0	257
141.0	289
144.0	253
147.0	211
150.0	225
153.0	201
156.0	181
159.0	185
162.0	164
165.0	156
168.0	162
171.0	155
174.0	150
177.0	143
180.0	132
183.0	91
186.0	105
189.0	90
192.0	103
195.0	78
198.0	105
201.0	97
204.0	78
207.0	73
210.0	66
213.0	53
216.0	50
219.0	63
222.0	43
225.0	35
228.0	49
231.0	33
234.0	37
237.0	37
240.0	32
243.0	28
246.0	41
249.0	34
252.0	26
255.0	25
258.0	24
261.0	22
264.0	18
267.0	19
270.0	17
273.0	17
276.0	18
279.0	21
282.0	12
285.0	12
288.0	11
291.0	14
294.0	10
297.0	13
300.0	12
303.0	8
306.0	8
309.0	7
312.0	8
315.0	4
318.0	5
321.0	5
324.0	10
327.0	3
330.0	7
333.0	6
336.0	5
339.0	7
342.0	7
345.0	5
348.0	3
351.0	1
354.0	5
357.0	6
360.0	3
363.0	7
366.0	5
369.0	3
372.0	3
375.0	8
378.0	5
381.0	5
384.0	7
387.0	4
390.0	2
393.0	6
396.0	9
399.0	4
402.0	2
405.0	10
408.0	8
411.0	3
414.0	3
417.0	6
420.0	8
423.0	3
426.0	4
429.0	4
432.0	5
435.0	5
438.0	6
441.0	4
444.0	4
447.0	2
450.0	4
453.0	6
456.0	3
459.0	4
462.0	7
465.0	2
468.0	4
471.0	1
474.0	3
477.0	3
480.0	3
483.0	6
486.0	4
489.0	5
492.0	5
495.0	3
498.0	5
501.0	3
504.0	5
507.0	3
510.0	2
513.0	2
516.0	2
519.0	4
522.0	3
525.0	8
528.0	5
531.0	2
534.0	4
537.0	4
540.0	3
543.0	2
546.0	4
549.0	5
552.0	4
555.0	0
558.0	6
561.0	0
564.0	5
567.0	4
570.0	3
573.0	2
576.0	5
579.0	2
582.0	4
585.0	1
588.0	3
591.0	3
594.0	0
597.0	1
600.0	3
603.0	1
606.0	2
609.0	5
612.0	0
615.0	4
618.0	6
621.0	1
624.0	4
627.0	5
630.0	3
633.0	1
636.0	2
639.0	0
642.0	1
645.0	1
648.0	0
651.0	2
654.0	0
657.0	1
660.0	0
663.0	4
666.0	1
669.0	4
672.0	4
675.0	1
678.0	2
681.0	2
684.0	3
687.0	1
690.0	2
693.0	2
696.0	1
699.0	7
702.0	0
705.0	0
708.0	3
711.0	2
714.0	5
717.0	1
720.0	1
723.0	3
726.0	0
729.0	2
732.0	3
735.0	0
738.0	4
741.0	1
744.0	4
747.0	3
750.0	1
753.0	0
756.0	3
759.0	1
762.0	0
765.0	2
768.0	0
771.0	1
774.0	1
777.0	1
780.0	4
783.0	1
786.0	3
789.0	1
792.0	0
795.0	0
798.0	2
801.0	0
804.0	2
807.0	0
810.0	1
813.0	1
816.0	1
819.0	0
822.0	0
825.0	0
828.0	0
831.0	1
834.0	1
837.0	0
840.0	1
843.0	1
846.0	3
849.0	0
852.0	0
855.0	3
858.0	1
861.0	1
864.0	2
867.0	0
870.0	2
873.0	2
876.0	0
879.0	0
882.0	1
885.0	2
888.0	1
891.0	1
894.0	1
897.0	2
900.0	1
903.0	2
906.0	0
909.0	1
912.0	0
915.0	0
918.0	0
921.0	2
924.0	3
927.0	1
930.0	0
933.0	1
936.0	3
939.0	0
942.0	1
945.0	1
948.0	0
951.0	0
954.0	3
957.0	0
960.0	1
963.0	1
966.0	1
969.0	0
972.0	0
975.0	0
978.0	0
981.0	0
984.0	0
987.0	0
990.0	0
993.0	0
996.0	0
999.0	0
1002.0	0
1005.0	0
1008.0	0
1011.0	0
1014.0	1
1017.0	0
1020.0	0
1023.0	0
1026.0	1
1029.0	0
1032.0	0
1035.0	0
1038.0	0
1041.0	2
1044.0	1
1047.0	0
1050.0	1
1053.0	0
1056.0	0
1059.0	0
1062.0	0
1065.0	0
1068.0	1
1071.0	1
1074.0	1
1077.0	1
1080.0	0
1083.0	0
1086.0	0
1089.0	0
1092.0	1
1095.0	0
1098.0	1
1101.0	0
1104.0	0
1107.0	1
1110.0	1
1113.0	0
1116.0	0
1119.0	1
1122.0	0
1125.0	0
1128.0	0
1131.0	1
1134.0	0
1137.0	0
1140.0	0
1143.0	1
1146.0	0
1149.0	0
1152.0	1
1155.0	1
1158.0	0
1161.0	0
1164.0	0
1167.0	0
1170.0	0
1173.0	0
1176.0	0
1179.0	0
1182.0	0
1185.0	1
1188.0	0
1191.0	0
1194.0	0
1197.0	0
1200.0	0
1203.0	0
1206.0	0
