n_3	N_3
0	0
1	0
2	170
3	5698
4	6546
5	4833
6	3728
7	3089
8	2896
9	2526
10	2246
11	2146
12	1995
13	1774
14	1728
15	1720
16	1702
17	1638
18	1589
19	1499
20	1420
21	1378
22	1368
23	1353
24	1365
25	1308
26	1294
27	1353
28	1253
29	1287
30	1261
31	1250
32	1353
33	1421
34	1227
35	1248
36	1328
37	1297
38	1257
39	1287
40	1283
41	1367
42	1316
43	1279
44	1295
45	1242
46	1252
47	1304
48	1395
49	1292
50	1259
51	1306
52	1326
53	1188
54	1246
55	1268
56	1335
57	1363
58	1326
59	1236
60	1286
61	1282
62	1251
63	1244
64	1225
65	1243
66	1242
67	1212
68	1298
69	1212
70	1250
71	1243
72	1290
73	1252
74	1200
75	1228
76	1201
77	1214
78	1222
79	1176
80	1300
81	1204
82	1142
83	1156
84	1197
85	1097
86	1208
87	1170
88	1137
89	1183
90	1135
91	1159
92	1111
93	1037
94	1075
95	1168
96	1205
97	1132
98	1091
99	1027
100	1073
101	1073
102	1078
103	1045
104	1055
105	974
106	944
107	1020
108	967
109	941
110	999
111	956
112	960
113	976
114	917
115	912
116	908
117	876
118	839
119	849
120	900
121	825
122	809
123	842
124	790
125	797
126	771
127	767
128	749
129	707
130	745
131	657
132	697
133	707
134	668
135	635
136	693
137	723
138	627
139	639
140	625
141	555
142	627
143	594
144	560
145	525
146	536
147	545
148	506
149	528
150	506
151	487
152	502
153	492
154	455
155	460
156	456
157	388
158	432
159	398
160	458
161	405
162	374
163	346
164	391
165	355
166	361
167	331
168	344
169	334
170	326
171	316
172	277
173	275
174	253
175	237
176	246
177	273
178	218
179	227
180	183
181	216
182	193
183	183
184	176
185	152
186	161
187	136
188	194
189	145
190	133
191	146
192	116
193	137
194	113
195	99
196	109
197	79
198	93
199	92
200	94
201	77
202	73
203	55
204	68
205	59
206	62
207	46
208	64
209	48
210	46
211	47
212	35
213	30
214	32
215	26
216	34
217	29
218	24
219	19
220	20
221	17
222	7
223	10
224	10
225	10
226	11
227	12
228	9
229	7
230	5
231	8
232	3
233	7
234	4
235	6
236	6
237	4
238	2
239	1
240	3
241	5
242	1
243	0
244	1
245	1
246	2
247	2
248	4
249	3
250	3
251	1
252	1
253	1
254	0
255	1
256	0
257	1
258	3
259	0
260	5
261	1
262	0
263	0
264	1
265	0
266	0
267	3
268	0
269	1
270	2
271	0
272	0
273	3
274	1
275	1
276	1
277	0
278	2
279	1
280	1
281	0
282	2
283	1
284	2
285	1
286	0
287	0
288	2
289	3
290	2
291	0
292	0
293	0
294	1
295	2
296	1
297	0
298	0
299	1
300	0
301	0
302	2
303	1
304	0
305	2
306	0
307	0
308	2
309	1
310	1
311	1
312	0
313	0
314	0
315	0
316	0
317	1
318	0
319	2
320	0
321	0
322	0
323	0
324	0
325	1
326	1
327	0
328	0
329	1
330	1
331	0
332	1
333	0
334	0
335	0
336	1
337	1
338	1
339	0
340	1
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	1
350	0
351	1
352	1
353	1
354	0
355	0
356	0
357	1
358	0
359	0
360	1
361	0
362	1
363	4
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	2
378	1
379	0
380	1
381	0
382	1
383	0
384	1
385	0
386	0
387	1
388	0
389	1
390	0
391	0
392	1
393	1
394	0
395	0
396	0
397	1
398	1
399	0
400	0
401	0
402	1
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	2
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
