E_3 / keV	N_3
0.0	0
3.0	0
6.0	170
9.0	5698
12.0	6546
15.0	4833
18.0	3728
21.0	3089
24.0	2896
27.0	2526
30.0	2246
33.0	2146
36.0	1995
39.0	1774
42.0	1728
45.0	1720
48.0	1702
51.0	1638
54.0	1589
57.0	1499
60.0	1420
63.0	1378
66.0	1368
69.0	1353
72.0	1365
75.0	1308
78.0	1294
81.0	1353
84.0	1253
87.0	1287
90.0	1261
93.0	1250
96.0	1353
99.0	1421
102.0	1227
105.0	1248
108.0	1328
111.0	1297
114.0	1257
117.0	1287
120.0	1283
123.0	1367
126.0	1316
129.0	1279
132.0	1295
135.0	1242
138.0	1252
141.0	1304
144.0	1395
147.0	1292
150.0	1259
153.0	1306
156.0	1326
159.0	1188
162.0	1246
165.0	1268
168.0	1335
171.0	1363
174.0	1326
177.0	1236
180.0	1286
183.0	1282
186.0	1251
189.0	1244
192.0	1225
195.0	1243
198.0	1242
201.0	1212
204.0	1298
207.0	1212
210.0	1250
213.0	1243
216.0	1290
219.0	1252
222.0	1200
225.0	1228
228.0	1201
231.0	1214
234.0	1222
237.0	1176
240.0	1300
243.0	1204
246.0	1142
249.0	1156
252.0	1197
255.0	1097
258.0	1208
261.0	1170
264.0	1137
267.0	1183
270.0	1135
273.0	1159
276.0	1111
279.0	1037
282.0	1075
285.0	1168
288.0	1205
291.0	1132
294.0	1091
297.0	1027
300.0	1073
303.0	1073
306.0	1078
309.0	1045
312.0	1055
315.0	974
318.0	944
321.0	1020
324.0	967
327.0	941
330.0	999
333.0	956
336.0	960
339.0	976
342.0	917
345.0	912
348.0	908
351.0	876
354.0	839
357.0	849
360.0	900
363.0	825
366.0	809
369.0	842
372.0	790
375.0	797
378.0	771
381.0	767
384.0	749
387.0	707
390.0	745
393.0	657
396.0	697
399.0	707
402.0	668
405.0	635
408.0	693
411.0	723
414.0	627
417.0	639
420.0	625
423.0	555
426.0	627
429.0	594
432.0	560
435.0	525
438.0	536
441.0	545
444.0	506
447.0	528
450.0	506
453.0	487
456.0	502
459.0	492
462.0	455
465.0	460
468.0	456
471.0	388
474.0	432
477.0	398
480.0	458
483.0	405
486.0	374
489.0	346
492.0	391
495.0	355
498.0	361
501.0	331
504.0	344
507.0	334
510.0	326
513.0	316
516.0	277
519.0	275
522.0	253
525.0	237
528.0	246
531.0	273
534.0	218
537.0	227
540.0	183
543.0	216
546.0	193
549.0	183
552.0	176
555.0	152
558.0	161
561.0	136
564.0	194
567.0	145
570.0	133
573.0	146
576.0	116
579.0	137
582.0	113
585.0	99
588.0	109
591.0	79
594.0	93
597.0	92
600.0	94
603.0	77
606.0	73
609.0	55
612.0	68
615.0	59
618.0	62
621.0	46
624.0	64
627.0	48
630.0	46
633.0	47
636.0	35
639.0	30
642.0	32
645.0	26
648.0	34
651.0	29
654.0	24
657.0	19
660.0	20
663.0	17
666.0	7
669.0	10
672.0	10
675.0	10
678.0	11
681.0	12
684.0	9
687.0	7
690.0	5
693.0	8
696.0	3
699.0	7
702.0	4
705.0	6
708.0	6
711.0	4
714.0	2
717.0	1
720.0	3
723.0	5
726.0	1
729.0	0
732.0	1
735.0	1
738.0	2
741.0	2
744.0	4
747.0	3
750.0	3
753.0	1
756.0	1
759.0	1
762.0	0
765.0	1
768.0	0
771.0	1
774.0	3
777.0	0
780.0	5
783.0	1
786.0	0
789.0	0
792.0	1
795.0	0
798.0	0
801.0	3
804.0	0
807.0	1
810.0	2
813.0	0
816.0	0
819.0	3
822.0	1
825.0	1
828.0	1
831.0	0
834.0	2
837.0	1
840.0	1
843.0	0
846.0	2
849.0	1
852.0	2
855.0	1
858.0	0
861.0	0
864.0	2
867.0	3
870.0	2
873.0	0
876.0	0
879.0	0
882.0	1
885.0	2
888.0	1
891.0	0
894.0	0
897.0	1
900.0	0
903.0	0
906.0	2
909.0	1
912.0	0
915.0	2
918.0	0
921.0	0
924.0	2
927.0	1
930.0	1
933.0	1
936.0	0
939.0	0
942.0	0
945.0	0
948.0	0
951.0	1
954.0	0
957.0	2
960.0	0
963.0	0
966.0	0
969.0	0
972.0	0
975.0	1
978.0	1
981.0	0
984.0	0
987.0	1
990.0	1
993.0	0
996.0	1
999.0	0
1002.0	0
1005.0	0
1008.0	1
1011.0	1
1014.0	1
1017.0	0
1020.0	1
1023.0	0
1026.0	0
1029.0	0
1032.0	1
1035.0	0
1038.0	0
1041.0	0
1044.0	0
1047.0	1
1050.0	0
1053.0	1
1056.0	1
1059.0	1
1062.0	0
1065.0	0
1068.0	0
1071.0	1
1074.0	0
1077.0	0
1080.0	1
1083.0	0
1086.0	1
1089.0	4
1092.0	0
1095.0	0
1098.0	0
1101.0	0
1104.0	0
1107.0	0
1110.0	0
1113.0	0
1116.0	0
1119.0	0
1122.0	0
1125.0	0
1128.0	0
1131.0	2
1134.0	1
1137.0	0
1140.0	1
1143.0	0
1146.0	1
1149.0	0
1152.0	1
1155.0	0
1158.0	0
1161.0	1
1164.0	0
1167.0	1
