F(Z,p) 
  T (MeV),   F beta-     F beta+
  0.100E-03  0.157E+04  0.383E+02
  0.101E-01  0.264E+03  0.642E+01
  0.201E-01  0.202E+03  0.492E+01
  0.301E-01  0.173E+03  0.421E+01
  0.401E-01  0.155E+03  0.377E+01
  0.501E-01  0.142E+03  0.346E+01
  0.601E-01  0.132E+03  0.322E+01
  0.701E-01  0.125E+03  0.304E+01
  0.801E-01  0.118E+03  0.288E+01
  0.901E-01  0.113E+03  0.275E+01
  0.100E+00  0.109E+03  0.264E+01
  0.110E+00  0.105E+03  0.255E+01
  0.120E+00  0.101E+03  0.246E+01
  0.130E+00  0.981E+02  0.239E+01
  0.140E+00  0.953E+02  0.232E+01
  0.150E+00  0.928E+02  0.226E+01
  0.160E+00  0.905E+02  0.220E+01
  0.170E+00  0.884E+02  0.215E+01
  0.180E+00  0.865E+02  0.211E+01
  0.190E+00  0.847E+02  0.206E+01
  0.200E+00  0.830E+02  0.202E+01
  0.210E+00  0.815E+02  0.198E+01
  0.220E+00  0.800E+02  0.195E+01
  0.230E+00  0.787E+02  0.192E+01
  0.240E+00  0.774E+02  0.188E+01
  0.250E+00  0.762E+02  0.186E+01
  0.260E+00  0.750E+02  0.183E+01
  0.270E+00  0.739E+02  0.180E+01
  0.280E+00  0.729E+02  0.178E+01
  0.290E+00  0.719E+02  0.175E+01
  0.300E+00  0.710E+02  0.173E+01
  0.310E+00  0.701E+02  0.171E+01
  0.320E+00  0.692E+02  0.169E+01   
  0.330E+00  0.684E+02  0.167E+01
  0.340E+00  0.676E+02  0.165E+01
  0.350E+00  0.669E+02  0.163E+01
  0.360E+00  0.661E+02  0.161E+01
  0.370E+00  0.654E+02  0.159E+01
  0.380E+00  0.648E+02  0.158E+01
  0.390E+00  0.641E+02  0.156E+01
  0.400E+00  0.635E+02  0.155E+01
  0.410E+00  0.629E+02  0.153E+01
  0.420E+00  0.623E+02  0.152E+01
  0.430E+00  0.617E+02  0.150E+01
  0.440E+00  0.612E+02  0.149E+01
  0.450E+00  0.607E+02  0.148E+01
  0.460E+00  0.602E+02  0.147E+01
  0.470E+00  0.597E+02  0.145E+01
  0.480E+00  0.592E+02  0.144E+01
  0.490E+00  0.587E+02  0.143E+01
  0.500E+00  0.582E+02  0.142E+01
  0.510E+00  0.578E+02  0.141E+01
  0.520E+00  0.574E+02  0.140E+01
  0.530E+00  0.569E+02  0.139E+01
  0.540E+00  0.565E+02  0.138E+01
  0.550E+00  0.561E+02  0.137E+01
  0.560E+00  0.557E+02  0.136E+01
  0.570E+00  0.554E+02  0.135E+01
  0.580E+00  0.550E+02  0.134E+01
  0.590E+00  0.546E+02  0.133E+01
  0.600E+00  0.543E+02  0.132E+01
  0.610E+00  0.539E+02  0.131E+01
  0.620E+00  0.536E+02  0.131E+01
  0.630E+00  0.533E+02  0.130E+01
  0.640E+00  0.529E+02  0.129E+01
  0.650E+00  0.526E+02  0.128E+01
  0.660E+00  0.523E+02  0.127E+01
  0.670E+00  0.520E+02  0.127E+01
  0.680E+00  0.517E+02  0.126E+01
  0.690E+00  0.514E+02  0.125E+01
  0.700E+00  0.511E+02  0.125E+01      
  0.710E+00  0.509E+02  0.124E+01
  0.720E+00  0.506E+02  0.123E+01
  0.730E+00  0.503E+02  0.123E+01
  0.740E+00  0.500E+02  0.122E+01
  0.750E+00  0.498E+02  0.121E+01
  0.760E+00  0.495E+02  0.121E+01
  0.770E+00  0.493E+02  0.120E+01
  0.780E+00  0.490E+02  0.119E+01
  0.790E+00  0.488E+02  0.119E+01
  0.800E+00  0.486E+02  0.118E+01
  0.810E+00  0.483E+02  0.118E+01
  0.820E+00  0.481E+02  0.117E+01
  0.830E+00  0.479E+02  0.117E+01
  0.840E+00  0.477E+02  0.116E+01
  0.850E+00  0.474E+02  0.116E+01
  0.860E+00  0.472E+02  0.115E+01
  0.870E+00  0.470E+02  0.115E+01
  0.880E+00  0.468E+02  0.114E+01
  0.890E+00  0.466E+02  0.114E+01
  0.900E+00  0.464E+02  0.113E+01
  0.910E+00  0.462E+02  0.113E+01
  0.920E+00  0.460E+02  0.112E+01
  0.930E+00  0.458E+02  0.112E+01
  0.940E+00  0.456E+02  0.111E+01
  0.950E+00  0.454E+02  0.111E+01
  0.960E+00  0.453E+02  0.110E+01
  0.970E+00  0.451E+02  0.110E+01
  0.980E+00  0.449E+02  0.109E+01
  0.990E+00  0.447E+02  0.109E+01
  0.100E+01  0.445E+02  0.109E+01  
  0.101E+01  0.444E+02  0.108E+01
  0.102E+01  0.442E+02  0.108E+01
  0.103E+01  0.440E+02  0.107E+01
  0.104E+01  0.439E+02  0.107E+01
  0.105E+01  0.437E+02  0.106E+01
  0.106E+01  0.436E+02  0.106E+01
  0.107E+01  0.434E+02  0.106E+01
