# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.00
1	1	1.0000	3.09
2	195	18.5742	6.19
3	7275	119.0336	9.28
4	9524	136.6382	12.37
5	8356	126.6017	15.47
6	8084	120.1832	18.56
7	9202	121.1280	21.65
8	11603	129.2710	24.75
9	12936	131.4306	27.84
10	12602	127.8984	30.93
11	11069	120.4616	34.03
12	9193	111.8705	37.12
13	7584	102.8688	40.21
14	6946	98.0000	43.31
15	6672	96.7264	46.40
16	7154	98.0714	49.49
17	6848	94.6890	52.59
18	6187	91.1976	55.68
19	5647	86.1336	58.77
20	5097	82.9277	61.87
21	4320	76.6159	64.96
22	3310	69.7711	68.05
23	2579	63.4586	71.15
24	2307	61.0328	74.24
25	1916	57.3062	77.33
26	1747	54.6168	80.43
27	1688	53.5164	83.52
28	1537	52.0288	86.62
29	1625	51.7397	89.71
30	1530	51.0098	92.80
31	1529	51.0784	95.90
32	1619	51.2543	98.99
33	1561	50.6261	102.08
34	1432	48.1871	105.18
35	1477	48.1352	108.27
36	1537	48.4458	111.36
37	1508	47.5395	114.46
38	1419	46.8722	117.55
39	1481	47.2546	120.64
40	1485	46.8935	123.74
41	1394	45.2990	126.83
42	1467	46.0326	129.92
43	1508	45.8258	133.02
44	1477	45.0000	136.11
45	1490	44.9889	139.20
46	1355	43.2319	142.30
47	1364	44.0681	145.39
48	1519	45.0000	148.48
49	1538	44.2719	151.58
50	1429	43.3474	154.67
51	1385	42.2729	157.76
52	1456	42.6380	160.86
53	1496	43.1972	163.95
54	1392	41.4729	167.04
55	1356	40.8412	170.14
56	1325	40.6079	173.23
57	1344	40.6694	176.32
58	1293	39.9124	179.42
59	1269	39.4335	182.51
60	1318	39.7744	185.60
61	1307	38.5876	188.70
62	1356	39.5727	191.79
63	1363	39.2810	194.88
64	1272	38.4448	197.98
65	1342	38.7040	201.07
66	1272	38.4968	204.16
67	1261	38.1445	207.26
68	1222	37.1214	210.35
69	1203	36.7287	213.44
70	1199	36.4829	216.54
71	1149	35.4260	219.63
72	1129	35.0571	222.72
73	1041	34.1614	225.82
74	1097	34.3948	228.91
75	1021	33.0303	232.00
76	924	31.9687	235.10
77	929	31.5436	238.19
78	974	32.3728	241.29
79	948	31.9687	244.38
80	926	31.4643	247.47
81	897	30.8707	250.57
82	900	31.3369	253.66
83	918	31.4006	256.75
84	897	30.8058	259.85
85	872	30.3645	262.94
86	912	30.9839	266.03
87	911	30.9031	269.13
88	889	30.4138	272.22
89	828	29.4279	275.31
90	828	29.3598	278.41
91	735	27.7308	281.50
92	802	28.9482	284.59
93	712	27.4591	287.69
94	677	26.4764	290.78
95	771	28.1957	293.87
96	840	29.3598	296.97
97	793	28.6531	300.06
98	852	29.5296	303.15
99	890	30.2655	306.25
100	933	30.9354	309.34
101	1015	32.1092	312.43
102	1036	32.4345	315.53
103	1121	33.6898	318.62
104	1104	33.4664	321.71
105	1059	32.6650	324.81
106	1018	32.0624	327.90
107	1059	32.6956	330.99
108	939	30.9677	334.09
109	886	29.8664	337.18
110	821	28.8964	340.27
111	741	27.4408	343.37
112	719	27.0000	346.46
113	638	25.5343	349.55
114	522	23.1517	352.65
115	533	23.3024	355.74
116	433	20.9523	358.83
117	392	19.8494	361.93
118	363	19.3132	365.02
119	300	17.6635	368.11
120	297	17.4069	371.21
121	248	16.1864	374.30
122	187	14.0357	377.39
123	158	12.8062	380.49
124	135	11.8743	383.58
125	109	11.1803	386.68
126	106	10.7703	389.77
127	77	9.3274	392.86
128	68	9.0554	395.96
129	37	6.7082	399.05
130	48	7.2111	402.14
131	32	6.6332	405.24
132	18	6.0000	408.33
133	16	4.8990	411.42
134	18	4.6904	414.52
135	14	5.8310	417.61
136	0	4.0000	420.70
137	11	4.1231	423.80
138	12	4.2426	426.89
139	4	4.0000	429.98
140	0	3.4641	433.08
141	5	3.3166	436.17
142	2	3.1623	439.26
143	1	3.0000	442.36
144	0	3.1623	445.45
145	1	3.3166	448.54
146	0	3.3166	451.64
147	4	3.4641	454.73
148	0	2.8284	457.82
149	0	2.0000	460.92
150	0	2.6458	464.01
151	0	3.4641	467.10
152	1	2.6458	470.20
153	1	3.0000	473.29
154	0	3.4641	476.38
155	2	2.4495	479.48
156	0	2.6458	482.57
157	4	2.4495	485.66
158	2	2.8284	488.76
159	4	3.1623	491.85
160	0	2.2361	494.94
161	0	3.0000	498.04
162	1	3.0000	501.13
163	0	3.1623	504.22
164	0	3.0000	507.32
165	2	2.8284	510.41
166	2	3.4641	513.50
167	1	2.6458	516.60
168	0	3.0000	519.69
169	0	2.4495	522.78
170	0	2.0000	525.88
171	5	3.0000	528.97
172	5	3.0000	532.06
173	1	3.0000	535.16
174	0	2.0000	538.25
175	0	3.4641	541.35
176	0	3.1623	544.44
177	0	2.0000	547.53
178	1	3.0000	550.63
179	0	2.6458	553.72
180	1	2.6458	556.81
181	0	1.7321	559.91
182	0	2.4495	563.00
183	0	2.8284	566.09
184	0	2.6458	569.19
185	1	1.0000	572.28
186	0	2.6458	575.37
187	3	1.7321	578.47
188	0	3.0000	581.56
189	0	2.2361	584.65
190	0	1.7321	587.75
191	2	2.4495	590.84
192	0	2.2361	593.93
193	1	2.2361	597.03
194	0	2.2361	600.12
195	2	2.0000	603.21
196	0	2.0000	606.31
197	2	2.8284	609.40
198	2	1.4142	612.49
199	1	1.7321	615.59
200	0	2.2361	618.68
201	3	2.2361	621.77
202	1	2.2361	624.87
203	0	2.2361	627.96
204	4	2.0000	631.05
205	0	2.8284	634.15
206	0	3.0000	637.24
207	2	2.0000	640.33
208	0	2.2361	643.43
209	0	2.8284	646.52
210	0	2.0000	649.61
211	4	2.4495	652.71
212	0	1.7321	655.80
213	1	1.0000	658.89
214	1	1.7321	661.99
215	3	2.2361	665.08
216	2	1.4142	668.17
217	0	2.0000	671.27
218	2	1.4142	674.36
219	1	1.7321	677.45
220	1	1.0000	680.55
221	0	2.6458	683.64
222	3	2.2361	686.73
223	0	2.2361	689.83
224	0	2.2361	692.92
225	3	2.2361	696.01
226	0	2.0000	699.11
227	0	1.7321	702.20
228	0	2.2361	705.30
229	2	2.0000	708.39
230	4	2.8284	711.48
231	2	2.4495	714.58
232	1	1.7321	717.67
233	0	3.1623	720.76
234	2	1.4142	723.86
235	0	0.0000	726.95
236	0	2.4495	730.04
237	0	1.4142	733.14
238	0	2.4495	736.23
239	1	1.7321	739.32
240	0	1.0000	742.42
241	0	2.0000	745.51
242	2	1.4142	748.60
243	0	1.4142	751.70
244	0	2.0000	754.79
245	0	0.0000	757.88
246	0	2.0000	760.98
247	1	1.7321	764.07
248	0	2.8284	767.16
249	0	2.0000	770.26
250	0	1.4142	773.35
251	1	1.0000	776.44
252	0	1.7321	779.54
253	2	2.0000	782.63
254	1	1.0000	785.72
255	0	2.0000	788.82
256	2	1.4142	791.91
257	0	1.0000	795.00
258	1	1.7321	798.10
259	0	1.4142	801.19
260	0	2.2361	804.28
261	1	1.7321	807.38
262	0	1.7321	810.47
263	0	1.0000	813.56
264	0	0.0000	816.66
265	0	0.0000	819.75
266	0	2.0000	822.84
267	2	1.4142	825.94
268	0	1.4142	829.03
269	2	1.4142	832.12
270	0	1.4142	835.22
271	0	1.0000	838.31
272	0	1.0000	841.40
273	3	1.7321	844.50
274	2	1.4142	847.59
275	0	0.0000	850.68
276	3	1.7321	853.78
277	0	1.0000	856.87
278	0	1.0000	859.97
279	1	1.0000	863.06
280	0	1.4142	866.15
281	0	1.4142	869.25
282	0	1.7321	872.34
283	1	1.0000	875.43
284	0	0.0000	878.53
285	0	1.7321	881.62
286	0	1.0000	884.71
287	0	1.4142	887.81
288	0	1.4142	890.90
289	0	0.0000	893.99
290	0	1.4142	897.09
291	0	1.7321	900.18
292	0	0.0000	903.27
293	1	1.0000	906.37
294	0	1.4142	909.46
295	0	1.7321	912.55
296	0	1.0000	915.65
297	0	1.0000	918.74
298	0	1.0000	921.83
299	0	1.7321	924.93
300	0	1.4142	928.02
301	0	1.7321	931.11
302	0	0.0000	934.21
303	2	2.0000	937.30
304	0	0.0000	940.39
305	0	0.0000	943.49
306	0	0.0000	946.58
307	0	1.4142	949.67
308	0	1.7321	952.77
309	0	1.4142	955.86
310	1	1.0000	958.95
311	0	1.0000	962.05
312	0	1.7321	965.14
313	1	1.0000	968.23
314	0	1.0000	971.33
315	0	1.4142	974.42
316	0	0.0000	977.51
317	0	0.0000	980.61
318	0	2.0000	983.70
319	0	0.0000	986.79
320	0	1.0000	989.89
321	0	1.0000	992.98
322	0	1.0000	996.07
323	0	0.0000	999.17
324	0	0.0000	1002.26
325	0	0.0000	1005.36
326	3	1.7321	1008.45
327	0	0.0000	1011.54
328	0	0.0000	1014.64
329	0	0.0000	1017.73
330	0	0.0000	1020.82
331	0	0.0000	1023.92
332	1	1.0000	1027.01
333	1	1.0000	1030.10
334	0	0.0000	1033.20
335	0	0.0000	1036.29
336	1	1.0000	1039.38
337	0	0.0000	1042.48
338	0	1.4142	1045.57
339	1	1.0000	1048.66
340	0	0.0000	1051.76
341	0	0.0000	1054.85
342	0	1.0000	1057.94
343	0	0.0000	1061.04
344	0	0.0000	1064.13
345	0	0.0000	1067.22
346	1	1.0000	1070.32
347	0	1.7321	1073.41
348	0	1.0000	1076.50
349	0	0.0000	1079.60
350	0	1.0000	1082.69
351	0	0.0000	1085.78
352	0	0.0000	1088.88
353	0	0.0000	1091.97
354	0	0.0000	1095.06
355	0	0.0000	1098.16
356	0	1.0000	1101.25
357	0	1.4142	1104.34
358	0	1.4142	1107.44
359	0	1.0000	1110.53
360	0	0.0000	1113.62
361	0	0.0000	1116.72
362	0	0.0000	1119.81
363	0	0.0000	1122.90
364	0	1.4142	1126.00
365	2	1.4142	1129.09
366	0	1.0000	1132.18
367	0	0.0000	1135.28
368	0	0.0000	1138.37
369	0	1.0000	1141.46
370	0	1.0000	1144.56
371	0	0.0000	1147.65
372	0	0.0000	1150.74
373	0	1.0000	1153.84
374	0	0.0000	1156.93
375	0	0.0000	1160.02
376	0	0.0000	1163.12
377	0	1.0000	1166.21
378	0	0.0000	1169.31
379	0	0.0000	1172.40
380	0	0.0000	1175.49
381	0	1.0000	1178.59
382	1	1.0000	1181.68
383	1	1.0000	1184.77
384	0	1.0000	1187.87
385	0	1.0000	1190.96
386	1	1.0000	1194.05
387	0	0.0000	1197.15
388	1	1.0000	1200.24
389	0	0.0000	1203.33
390	0	0.0000	1206.43
391	0	0.0000	1209.52
392	1	1.0000	1212.61
393	0	0.0000	1215.71
394	0	0.0000	1218.80
395	0	1.0000	1221.89
396	0	0.0000	1224.99
397	0	0.0000	1228.08
398	0	0.0000	1231.17
399	0	0.0000	1234.27
400	0	0.0000	1237.36
401	0	0.0000	1240.45
402	0	0.0000	1243.55
403	0	1.0000	1246.64
404	0	0.0000	1249.73
405	0	0.0000	1252.83
406	0	0.0000	1255.92
407	0	0.0000	1259.01
408	0	0.0000	1262.11
409	0	0.0000	1265.20
410	0	0.0000	1268.29
411	0	0.0000	1271.39
412	0	0.0000	1274.48
413	0	0.0000	1277.57
414	0	0.0000	1280.67
415	0	0.0000	1283.76
416	0	0.0000	1286.85
417	0	0.0000	1289.95
418	0	0.0000	1293.04
419	0	0.0000	1296.13
420	0	0.0000	1299.23
421	0	0.0000	1302.32
422	0	0.0000	1305.41
423	0	0.0000	1308.51
424	0	0.0000	1311.60
425	0	0.0000	1314.69
426	1	1.0000	1317.79
427	0	0.0000	1320.88
428	0	0.0000	1323.98
429	0	0.0000	1327.07
430	0	0.0000	1330.16
431	0	0.0000	1333.26
432	1	1.0000	1336.35
433	0	0.0000	1339.44
434	0	0.0000	1342.54
435	0	0.0000	1345.63
436	0	0.0000	1348.72
437	0	0.0000	1351.82
438	1	1.0000	1354.91
439	2	1.4142	1358.00
440	0	0.0000	1361.10
441	1	1.0000	1364.19
442	0	0.0000	1367.28
443	0	0.0000	1370.38
444	0	0.0000	1373.47
445	0	0.0000	1376.56
446	0	0.0000	1379.66
447	1	1.0000	1382.75
448	0	0.0000	1385.84
449	0	0.0000	1388.94
450	0	0.0000	1392.03
451	0	0.0000	1395.12
452	0	0.0000	1398.22
453	0	1.0000	1401.31
454	0	0.0000	1404.40
455	0	0.0000	1407.50
456	0	0.0000	1410.59
457	0	0.0000	1413.68
458	1	1.0000	1416.78
459	0	1.0000	1419.87
460	0	0.0000	1422.96
461	0	0.0000	1426.06
462	0	1.0000	1429.15
463	0	0.0000	1432.24
464	0	1.4142	1435.34
465	0	0.0000	1438.43
466	0	0.0000	1441.52
467	0	0.0000	1444.62
468	0	0.0000	1447.71
469	0	0.0000	1450.80
470	0	0.0000	1453.90
471	0	0.0000	1456.99
472	0	0.0000	1460.08
473	0	0.0000	1463.18
474	0	0.0000	1466.27
475	0	0.0000	1469.37
476	0	0.0000	1472.46
477	0	0.0000	1475.55
478	0	1.0000	1478.65
479	0	0.0000	1481.74
480	0	0.0000	1484.83
481	0	0.0000	1487.93
482	0	0.0000	1491.02
483	0	0.0000	1494.11
484	0	0.0000	1497.21
485	0	0.0000	1500.30
486	0	0.0000	1503.39
487	1	1.0000	1506.49
488	0	0.0000	1509.58
489	1	1.0000	1512.67
490	0	0.0000	1515.77
491	0	0.0000	1518.86
492	0	0.0000	1521.95
493	0	0.0000	1525.05
494	0	0.0000	1528.14
495	0	0.0000	1531.23
496	0	0.0000	1534.33
