# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.00
1	5	2.2361	3.09
2	458	24.6577	6.19
3	4783	108.0602	9.28
4	4279	115.8663	12.37
5	3352	104.9952	15.47
6	2844	95.9375	18.56
7	2905	91.5150	21.65
8	3177	91.0220	24.75
9	3442	88.2043	27.84
10	3266	83.7974	30.93
11	3504	83.3427	34.03
12	3607	83.2406	37.12
13	3791	82.3954	40.21
14	3778	80.2247	43.31
15	3938	81.3757	46.40
16	4349	82.5409	49.49
17	4474	81.1911	52.59
18	4364	80.5854	55.68
19	4721	80.5792	58.77
20	4935	81.9451	61.87
21	4953	80.6412	64.96
22	5112	81.6701	68.05
23	5249	81.8352	71.15
24	5548	83.4626	74.24
25	5601	83.4805	77.33
26	5452	81.7802	80.43
27	5613	82.3954	83.52
28	5771	83.3127	86.62
29	5942	83.6301	89.71
30	5982	83.9881	92.80
31	6203	85.3405	95.90
32	6658	87.5557	98.99
33	6503	86.6314	102.08
34	6272	84.6286	105.18
35	6402	85.0999	108.27
36	6438	85.1352	111.36
37	6521	85.2819	114.46
38	6447	85.0000	117.55
39	6763	86.6891	120.64
40	6894	87.2238	123.74
41	7200	88.6454	126.83
42	6668	85.5570	129.92
43	6927	86.7122	133.02
44	6919	86.4118	136.11
45	6869	86.0407	139.20
46	6823	85.6563	142.30
47	7112	87.6926	145.39
48	7197	87.7667	148.48
49	7197	87.2869	151.58
50	6991	86.2612	154.67
51	7007	86.0755	157.76
52	6990	85.7438	160.86
53	6994	85.8138	163.95
54	6896	84.9941	167.04
55	6991	85.4576	170.14
56	7064	85.9535	173.23
57	7050	85.7904	176.32
58	6860	84.6168	179.42
59	6839	84.4097	182.51
60	6703	83.4686	185.60
61	6771	83.3847	188.70
62	6733	83.3247	191.79
63	6892	84.0952	194.88
64	7038	85.1117	197.98
65	6822	83.5344	201.07
66	6498	81.9024	204.16
67	6584	82.3286	207.26
68	6463	81.3572	210.35
69	6489	81.4555	213.44
70	6404	80.8455	216.54
71	6580	81.7680	219.63
72	6591	81.7985	222.72
73	6397	80.7651	225.82
74	6163	79.0506	228.91
75	6200	79.1833	232.00
76	6092	78.6766	235.10
77	6131	78.7210	238.19
78	5951	77.6209	241.29
79	5997	77.9166	244.38
80	6189	79.0759	247.47
81	6114	78.5493	250.57
82	5792	76.6420	253.66
83	5655	75.6505	256.75
84	5749	76.1643	259.85
85	5717	75.9408	262.94
86	5545	74.7864	266.03
87	5457	74.1687	269.13
88	5588	74.9933	272.22
89	5485	74.3169	275.31
90	5171	72.1457	278.41
91	5056	71.3442	281.50
92	5095	71.6310	284.59
93	4916	70.4131	287.69
94	4937	70.4344	290.78
95	4872	69.9714	293.87
