# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.00
1	2	1.4142	3.09
2	229	19.4679	6.19
3	6193	114.3984	9.28
4	6841	126.4397	12.37
5	6118	117.4308	15.47
6	5875	110.6119	18.56
7	6203	108.0417	21.65
8	6974	109.9182	24.75
9	7351	108.1157	27.84
10	7844	107.7033	30.93
11	8673	110.0682	34.03
12	9406	112.8184	37.12
13	9817	113.2034	40.21
14	10141	113.1327	43.31
15	10126	113.1813	46.40
16	11032	116.1723	49.49
17	10823	113.7585	52.59
18	9744	108.9679	55.68
19	9337	105.3992	58.77
20	8181	99.8048	61.87
21	7281	93.9734	64.96
22	6215	88.1646	68.05
23	5854	85.4517	71.15
24	5702	84.3801	74.24
25	5586	83.3906	77.33
26	5574	82.5227	80.43
27	5828	83.6899	83.52
28	6464	87.3728	86.62
29	7111	90.3493	89.71
30	7730	93.8190	92.80
31	8309	96.8969	95.90
32	9320	101.6268	98.99
33	9197	100.9901	102.08
34	8075	94.6837	105.18
35	7907	93.5254	108.27
36	7000	88.3742	111.36
37	6141	83.0241	114.46
38	5054	76.3675	117.55
39	4237	70.6329	120.64
40	3630	65.9090	123.74
41	3056	60.9426	126.83
42	2639	57.3672	129.92
43	2316	53.9259	133.02
44	2376	54.0740	136.11
45	2145	51.7591	139.20
46	2131	51.4296	142.30
47	2056	51.3225	145.39
48	2216	52.1728	148.48
49	2168	50.8920	151.58
50	2023	49.7293	154.67
51	2077	49.7896	157.76
52	2030	48.9081	160.86
53	2032	49.0102	163.95
54	1990	48.1456	167.04
55	2047	48.5695	170.14
56	2189	50.1298	173.23
57	2102	49.1121	176.32
58	2070	48.6826	179.42
59	2048	48.3115	182.51
60	2155	49.1833	185.60
61	2145	48.2390	188.70
62	2130	48.3735	191.79
63	2154	48.3115	194.88
64	2135	48.3839	197.98
65	2056	47.0319	201.07
66	1949	46.4650	204.16
67	1986	46.6905	207.26
68	1896	45.2990	210.35
69	1880	45.0111	213.44
70	1807	44.0341	216.54
71	1892	44.6990	219.63
72	1875	44.4410	222.72
73	1798	43.8634	225.82
74	1741	42.7434	228.91
75	1805	43.3013	232.00
76	1737	42.8369	235.10
77	1678	41.7612	238.19
78	1651	41.5331	241.29
79	1713	42.2729	244.38
80	1738	42.4500	247.47
81	1643	41.2189	250.57
82	1595	40.9512	253.66
83	1553	40.2616	256.75
84	1646	41.2068	259.85
85	1562	40.1497	262.94
86	1632	40.9878	266.03
87	1619	40.7799	269.13
88	1650	41.0609	272.22
89	1627	40.8044	275.31
90	1573	40.0874	278.41
91	1540	39.6737	281.50
92	1572	40.0999	284.59
93	1581	40.2865	287.69
94	1482	38.8072	290.78
95	1565	39.8623	293.87
96	1728	41.8330	296.97
97	1674	41.2553	300.06
98	1479	38.7169	303.15
99	1480	38.8072	306.25
100	1482	38.8072	309.34
101	1393	37.5366	312.43
102	1415	37.8286	315.53
103	1362	37.0945	318.62
104	1443	38.1969	321.71
105	1395	37.4566	324.81
106	1240	35.3553	327.90
107	1281	35.9305	330.99
108	1279	36.0416	334.09
109	1274	35.7771	337.18
110	1251	35.5668	340.27
111	1223	35.1426	343.37
112	1241	35.3695	346.46
113	1202	34.8712	349.55
114	1244	35.4683	352.65
115	1186	34.5832	355.74
116	1214	34.9285	358.83
117	1118	33.4664	361.93
118	1112	33.4963	365.02
119	1084	33.1059	368.11
120	1118	33.5261	371.21
121	1102	33.4066	374.30
122	1050	32.5576	377.39
123	1043	32.3883	380.49
124	1092	33.1361	383.58
125	1065	32.8786	386.68
126	956	31.0805	389.77
127	961	31.1609	392.86
128	968	31.3369	395.96
129	967	31.2250	399.05
130	985	31.4484	402.14
131	927	30.6431	405.24
132	1017	32.1714	408.33
133	911	30.3150	411.42
134	943	30.7734	414.52
135	908	30.4631	417.61
136	975	31.4802	420.70
137	983	31.4484	423.80
138	908	30.2324	426.89
139	881	29.8831	429.98
140	850	29.4279	433.08
141	852	29.2916	436.17
142	900	30.1330	439.26
143	839	29.1033	442.36
144	813	28.6880	445.45
145	888	29.9666	448.54
146	824	28.9137	451.64
147	795	28.3373	454.73
148	864	29.5296	457.82
149	861	29.4109	460.92
150	848	29.2575	464.01
151	801	28.5132	467.10
152	832	28.9482	470.20
153	770	27.8927	473.29
154	775	28.0891	476.38
155	779	27.9821	479.48
156	769	27.8747	482.57
157	760	27.6043	485.66
158	740	27.3130	488.76
159	712	26.7955	491.85
160	778	28.0000	494.94
161	783	28.1957	498.04
162	719	26.9629	501.13
163	722	27.0555	504.22
164	723	27.0740	507.32
165	731	27.1477	510.41
166	669	26.0576	513.50
167	721	26.9629	516.60
168	685	26.3629	519.69
169	685	26.2869	522.78
170	668	25.9230	525.88
171	674	26.0384	528.97
172	668	25.9230	532.06
173	638	25.4165	535.16
174	666	25.9230	538.25
175	655	25.9037	541.35
176	705	26.7395	544.44
177	615	24.8797	547.53
178	614	24.9399	550.63
179	648	25.6125	553.72
180	594	24.4949	556.81
181	601	24.5967	559.91
182	616	24.9800	563.00
183	625	25.1992	566.09
184	599	24.6374	569.19
185	606	24.6171	572.28
186	524	23.1517	575.37
187	612	24.7386	578.47
188	578	24.2487	581.56
189	571	24.0624	584.65
190	518	22.8910	587.75
191	498	22.4054	590.84
192	545	23.5584	593.93
193	539	23.3024	597.03
194	518	22.9347	600.12
195	551	23.5160	603.21
196	511	22.7376	606.31
197	488	22.2261	609.40
198	549	23.4307	612.49
199	472	21.7715	615.59
200	511	22.7376	618.68
201	537	23.2164	621.77
202	474	21.8632	624.87
203	448	21.4009	627.96
204	484	22.0000	631.05
205	466	21.7715	634.15
206	434	21.1187	637.24
207	423	20.6155	640.33
208	514	22.8473	643.43
209	438	21.1660	646.52
210	409	20.3715	649.61
211	433	20.8567	652.71
212	447	21.2368	655.80
213	448	21.1660	658.89
214	411	20.3224	661.99
215	434	20.8806	665.08
216	458	21.4009	668.17
217	394	19.9499	671.27
218	399	19.9750	674.36
219	422	20.5913	677.45
220	431	20.7605	680.55
221	380	19.6977	683.64
222	371	19.3132	686.73
223	408	20.3961	689.83
224	389	19.9249	692.92
225	358	18.9737	696.01
226	410	20.3470	699.11
227	331	18.3030	702.20
228	397	20.0749	705.30
229	351	18.7883	708.39
230	324	18.1108	711.48
231	362	19.1311	714.58
232	355	18.8944	717.67
233	364	19.4422	720.76
234	345	18.5742	723.86
235	350	18.7083	726.95
236	339	18.5742	730.04
237	326	18.1659	733.14
238	344	18.8149	736.23
239	301	17.4069	739.32
240	360	19.0263	742.42
241	323	18.1384	745.51
242	279	16.7033	748.60
243	303	17.5214	751.70
244	324	18.1659	754.79
245	327	18.0831	757.88
246	310	17.8326	760.98
247	320	17.9444	764.07
248	308	17.7764	767.16
249	296	17.3781	770.26
250	288	17.0294	773.35
251	278	16.6733	776.44
252	304	17.6068	779.54
253	307	17.5784	782.63
254	264	16.2481	785.72
255	319	17.9722	788.82
256	258	16.0624	791.91
257	243	15.6525	795.00
258	254	16.0000	798.10
259	244	15.6844	801.19
260	274	16.7929	804.28
261	265	16.3401	807.38
262	251	16.0312	810.47
263	259	16.1555	813.56
264	279	16.7033	816.66
265	247	15.7162	819.75
266	244	15.7480	822.84
267	237	15.3948	825.94
268	238	15.5563	829.03
269	250	15.8114	832.12
270	256	16.0624	835.22
271	235	15.3948	838.31
272	261	16.2173	841.40
273	229	15.1327	844.50
274	226	15.0333	847.59
275	195	13.9642	850.68
276	222	14.8997	853.78
277	220	14.8997	856.87
278	209	14.5258	859.97
279	225	15.0000	863.06
280	209	14.5258	866.15
281	198	14.1421	869.25
282	205	14.5258	872.34
283	208	14.4222	875.43
284	216	14.6969	878.53
285	192	14.0712	881.62
286	200	14.2127	884.71
287	204	14.3527	887.81
288	201	14.3178	890.90
289	187	13.6748	893.99
290	196	14.1421	897.09
291	192	14.0000	900.18
292	177	13.3041	903.27
293	171	13.0767	906.37
294	156	12.5698	909.46
295	201	14.3178	912.55
296	214	14.6969	915.65
297	184	13.6382	918.74
298	171	13.1529	921.83
299	146	12.2474	924.93
300	174	13.2665	928.02
301	164	12.9615	931.11
302	167	12.9228	934.21
303	167	13.0000	937.30
304	170	13.0384	940.39
305	167	12.9228	943.49
306	152	12.3288	946.58
307	164	12.9615	949.67
308	163	13.0000	952.77
309	134	11.6619	955.86
310	165	12.8452	958.95
311	135	11.7047	962.05
312	143	12.2066	965.14
313	145	12.0416	968.23
314	156	12.5698	971.33
315	151	12.3693	974.42
316	147	12.1244	977.51
317	130	11.4018	980.61
318	120	11.2250	983.70
319	137	11.7047	986.79
320	143	12.0416	989.89
321	126	11.3137	992.98
322	111	10.6301	996.07
323	122	11.0454	999.17
324	119	10.9087	1002.26
325	128	11.3137	1005.36
326	131	11.4455	1008.45
327	120	10.9545	1011.54
328	119	10.9087	1014.64
329	107	10.3441	1017.73
330	99	9.9499	1020.82
331	109	10.4403	1023.92
332	121	11.0000	1027.01
333	132	11.4891	1030.10
334	82	9.0554	1033.20
335	112	10.5830	1036.29
336	105	10.2470	1039.38
337	82	9.0554	1042.48
338	93	9.7468	1045.57
339	88	9.3808	1048.66
340	83	9.1104	1051.76
341	72	8.4853	1054.85
342	88	9.4868	1057.94
343	112	10.5830	1061.04
344	85	9.2195	1064.13
345	94	9.6954	1067.22
346	85	9.2195	1070.32
347	93	9.8489	1073.41
348	68	8.3666	1076.50
349	94	9.6954	1079.60
350	73	8.6603	1082.69
351	82	9.0554	1085.78
352	81	9.0000	1088.88
353	78	8.8318	1091.97
354	91	9.5394	1095.06
355	82	9.0554	1098.16
356	67	8.3066	1101.25
357	78	8.9443	1104.34
358	82	9.1652	1107.44
359	73	8.6603	1110.53
360	70	8.3666	1113.62
361	65	8.0623	1116.72
362	79	8.8882	1119.81
363	86	9.2736	1122.90
364	61	7.9373	1126.00
365	81	9.0000	1129.09
366	70	8.4853	1132.18
367	92	9.5917	1135.28
368	63	7.9373	1138.37
369	77	8.8882	1141.46
370	62	8.0000	1144.56
371	72	8.4853	1147.65
372	66	8.1240	1150.74
373	57	7.6811	1153.84
374	56	7.4833	1156.93
375	58	7.6158	1160.02
