# Channel	Counts	Error	Energy (keV)
0	0	0.0000	0.00
1	0	0.0000	3.09
2	95	15.6525	6.19
3	2251	95.6295	9.28
4	1973	105.4467	12.37
5	997	93.1075	15.47
6	548	83.1144	18.56
7	354	76.3151	21.65
8	342	73.8241	24.75
9	357	68.5201	27.84
10	368	64.2184	30.93
11	425	62.1852	34.03
12	334	60.4649	37.12
13	275	57.2101	40.21
14	399	55.2901	43.31
15	378	55.3353	46.40
16	470	54.1664	49.49
17	579	51.9326	52.59
18	524	51.5170	55.68
19	613	48.8365	58.77
20	530	48.0625	61.87
21	603	46.4004	64.96
22	589	46.3357	68.05
23	629	45.5741	71.15
24	656	45.5412	74.24
25	624	44.6318	77.33
26	676	43.7264	80.43
27	765	44.0568	83.52
28	668	42.8719	86.62
29	761	42.5793	89.71
30	725	42.3910	92.80
31	710	42.3084	95.90
32	849	43.0929	98.99
33	920	43.8406	102.08
34	782	40.8901	105.18
35	828	40.8412	108.27
36	923	41.6293	111.36
37	921	40.9023	114.46
38	868	40.5709	117.55
39	911	40.7799	120.64
40	926	40.4969	123.74
41	1038	41.1825	126.83
42	990	40.5216	129.92
43	983	39.6863	133.02
44	1021	39.6106	136.11
45	975	38.8458	139.20
46	995	38.8458	142.30
47	1015	39.9124	145.39
48	1142	40.5956	148.48
49	1081	38.7685	151.58
50	1034	38.5227	154.67
51	1105	38.8201	157.76
52	1145	38.8201	160.86
53	1003	37.0540	163.95
54	1082	37.5500	167.04
55	1112	37.7359	170.14
56	1173	38.6911	173.23
57	1208	38.9615	176.32
58	1176	38.4187	179.42
59	1093	37.1349	182.51
60	1154	37.6563	185.60
61	1191	37.0540	188.70
62	1146	36.8239	191.79
63	1154	36.5240	194.88
64	1122	36.4417	197.98
65	1165	36.3456	201.07
66	1137	36.7015	204.16
67	1115	36.1801	207.26
68	1220	37.0945	210.35
69	1139	35.8469	213.44
70	1184	36.2767	216.54
71	1190	36.0000	219.63
72	1240	36.6060	222.72
73	1189	36.2629	225.82
74	1157	35.2562	228.91
75	1193	35.5387	232.00
76	1152	35.3553	235.10
77	1181	35.3129	238.19
78	1185	35.4824	241.29
79	1139	34.8281	244.38
80	1268	36.4966	247.47
81	1176	35.0999	250.57
82	1101	34.3948	253.66
83	1122	34.4964	256.75
84	1171	34.9714	259.85
85	1072	33.4963	262.94
86	1184	35.0999	266.03
87	1148	34.5254	269.13
88	1119	33.9853	272.22
89	1164	34.6699	275.31
90	1118	33.9411	278.41
91	1142	34.2929	281.50
92	1093	33.6006	284.59
93	1016	32.5269	287.69
94	1063	32.9697	290.78
95	1156	34.3511	293.87
96	1194	34.8712	296.97
97	1118	33.8526	300.06
98	1081	33.1813	303.15
99	1014	32.2490	306.25
100	1061	32.9393	309.34
101	1065	32.8786	312.43
102	1070	32.9545	315.53
103	1038	32.4345	318.62
104	1047	32.6037	321.71
105	970	31.2730	324.81
106	939	30.8058	327.90
107	1015	32.0156	330.99
108	957	31.2570	334.09
109	938	30.7246	337.18
110	992	31.7175	340.27
111	950	31.0161	343.37
112	955	31.0644	346.46
113	969	31.3528	349.55
114	910	30.3974	352.65
115	907	30.2820	355.74
116	905	30.1828	358.83
117	875	29.6142	361.93
118	834	29.0517	365.02
119	843	29.2404	368.11
120	897	30.0500	371.21
121	818	28.8444	374.30
122	804	28.5307	377.39
123	839	29.0689	380.49
124	787	28.1603	383.58
125	789	28.3725	386.68
126	766	27.8568	389.77
127	762	27.7849	392.86
128	742	27.4955	395.96
129	703	26.6646	399.05
130	743	27.3313	402.14
131	651	25.7488	405.24
132	688	26.5707	408.33
133	703	26.6646	411.42
134	666	25.8844	414.52
135	625	25.3969	417.61
136	685	26.4764	420.70
137	720	26.9444	423.80
138	624	25.0998	426.89
139	633	25.3969	429.98
140	617	25.1595	433.08
141	552	23.6220	436.17
142	623	25.1197	439.26
143	590	24.4540	442.36
144	555	23.7697	445.45
145	520	23.0217	448.54
146	530	23.2809	451.64
147	541	23.4307	454.73
148	502	22.5832	457.82
149	526	23.0217	460.92
150	502	22.5832	464.01
151	481	22.2036	467.10
152	499	22.4722	470.20
153	488	22.2711	473.29
154	448	21.4942	476.38
155	458	21.4942	479.48
156	452	21.4476	482.57
157	387	19.7231	485.66
158	429	20.8567	488.76
159	395	20.0250	491.85
160	455	21.4709	494.94
161	399	20.2731	498.04
162	370	19.4422	501.13
163	341	18.7350	504.22
164	386	19.8997	507.32
165	352	18.9209	510.41
166	356	19.1311	513.50
167	328	18.2757	516.60
168	339	18.6815	519.69
169	331	18.3576	522.78
170	324	18.1108	525.88
171	314	17.8326	528.97
172	275	16.7033	532.06
173	271	16.7033	535.16
174	250	16.0000	538.25
175	229	15.6525	541.35
176	241	15.8430	544.44
177	271	16.5831	547.53
178	214	14.8997	550.63
179	223	15.1987	553.72
180	180	13.6382	556.81
181	214	14.7648	559.91
182	189	14.0357	563.00
183	178	13.7113	566.09
184	172	13.4164	569.19
185	152	12.3288	572.28
186	155	12.9228	575.37
187	136	11.6619	578.47
188	189	14.1067	581.56
189	141	12.2066	584.65
190	130	11.6619	587.75
191	144	12.1655	590.84
192	111	11.0000	593.93
193	135	11.7898	597.03
194	109	10.8167	600.12
195	98	10.0000	603.21
196	106	10.5830	606.31
197	76	9.0554	609.40
198	93	9.6437	612.49
199	91	9.6437	615.59
200	91	9.8489	618.68
201	76	8.8318	621.77
202	71	8.6603	624.87
203	50	7.7460	627.96
204	68	8.2462	631.05
205	55	7.9373	634.15
206	56	8.2462	637.24
207	45	6.8557	640.33
208	60	8.2462	643.43
209	43	7.2801	646.52
210	43	7.0000	649.61
211	46	6.9282	652.71
212	33	6.0828	655.80
213	30	5.4772	658.89
214	31	5.7446	661.99
215	25	5.1962	665.08
216	34	5.8310	668.17
217	27	5.5678	671.27
218	24	4.8990	674.36
219	18	4.4721	677.45
220	20	4.4721	680.55
221	13	4.5826	683.64
222	6	2.8284	686.73
223	6	3.7417	689.83
224	6	3.7417	692.92
225	9	3.3166	696.01
226	9	3.6056	699.11
227	10	3.7417	702.20
228	6	3.4641	705.30
229	6	2.8284	708.39
230	3	2.6458	711.48
231	6	3.1623	714.58
232	2	2.0000	717.67
233	0	3.7417	720.76
234	4	2.0000	723.86
235	6	2.4495	726.95
236	3	3.0000	730.04
237	2	2.4495	733.14
238	0	2.6458	736.23
239	0	1.4142	739.32
240	2	2.0000	742.42
241	2	2.8284	745.51
242	1	1.0000	748.60
243	0	1.4142	751.70
244	0	2.0000	754.79
245	1	1.0000	757.88
246	0	2.4495	760.98
247	1	1.7321	764.07
248	0	2.8284	767.16
249	0	2.4495	770.26
250	2	2.0000	773.35
251	1	1.0000	776.44
252	0	2.0000	779.54
253	0	1.4142	782.63
254	0	0.0000	785.72
255	0	1.7321	788.82
256	0	0.0000	791.91
257	0	1.4142	795.00
258	2	2.0000	798.10
259	0	1.0000	801.19
260	1	3.0000	804.28
261	0	1.4142	807.38
262	0	1.7321	810.47
263	0	1.0000	813.56
264	1	1.0000	816.66
265	0	0.0000	819.75
266	0	1.4142	822.84
267	3	1.7321	825.94
268	0	1.4142	829.03
269	1	1.0000	832.12
270	1	1.7321	835.22
271	0	1.0000	838.31
272	0	1.0000	841.40
273	3	1.7321	844.50
274	1	1.0000	847.59
275	1	1.0000	850.68
276	1	1.0000	853.78
277	0	1.0000	856.87
278	1	1.7321	859.97
279	1	1.0000	863.06
280	0	1.4142	866.15
281	0	1.0000	869.25
282	0	2.2361	872.34
283	1	1.0000	875.43
284	2	1.4142	878.53
285	0	2.0000	881.62
286	0	1.0000	884.71
287	0	1.0000	887.81
288	0	2.0000	890.90
289	3	1.7321	893.99
290	0	2.0000	897.09
291	0	1.4142	900.18
292	0	0.0000	903.27
293	0	0.0000	906.37
294	0	1.4142	909.46
295	0	2.0000	912.55
296	0	1.4142	915.65
297	0	1.0000	918.74
298	0	1.0000	921.83
299	0	1.7321	924.93
300	0	1.0000	928.02
301	0	1.4142	931.11
302	2	1.4142	934.21
303	0	1.4142	937.30
304	0	0.0000	940.39
305	2	1.4142	943.49
306	0	0.0000	946.58
307	0	1.4142	949.67
308	0	2.2361	952.77
309	0	1.4142	955.86
310	1	1.0000	958.95
311	0	1.4142	962.05
312	0	1.7321	965.14
313	0	0.0000	968.23
314	0	1.0000	971.33
315	0	1.0000	974.42
316	0	0.0000	977.51
317	1	1.0000	980.61
318	0	1.7321	983.70
319	2	1.4142	986.79
320	0	1.0000	989.89
321	0	1.0000	992.98
322	0	1.0000	996.07
323	0	0.0000	999.17
324	0	0.0000	1002.26
325	1	1.0000	1005.36
326	1	1.0000	1008.45
327	0	0.0000	1011.54
328	0	0.0000	1014.64
329	1	1.0000	1017.73
330	1	1.0000	1020.82
331	0	0.0000	1023.92
332	1	1.0000	1027.01
333	0	0.0000	1030.10
334	0	0.0000	1033.20
335	0	0.0000	1036.29
336	1	1.0000	1039.38
337	1	1.0000	1042.48
338	0	1.4142	1045.57
339	0	0.0000	1048.66
340	1	1.0000	1051.76
341	0	0.0000	1054.85
342	0	1.0000	1057.94
343	0	0.0000	1061.04
344	1	1.0000	1064.13
345	0	0.0000	1067.22
346	0	0.0000	1070.32
347	0	1.4142	1073.41
348	0	1.0000	1076.50
349	1	1.0000	1079.60
350	0	1.0000	1082.69
351	1	1.0000	1085.78
352	1	1.0000	1088.88
353	1	1.0000	1091.97
354	0	0.0000	1095.06
355	0	0.0000	1098.16
356	0	1.0000	1101.25
357	0	1.4142	1104.34
358	0	1.0000	1107.44
359	0	1.0000	1110.53
360	1	1.0000	1113.62
361	0	0.0000	1116.72
362	1	1.0000	1119.81
363	4	2.0000	1122.90
364	0	1.0000	1126.00
365	0	0.0000	1129.09
366	0	1.0000	1132.18
367	0	0.0000	1135.28
368	0	0.0000	1138.37
369	0	1.0000	1141.46
370	0	1.0000	1144.56
371	0	0.0000	1147.65
372	0	0.0000	1150.74
373	0	1.0000	1153.84
374	0	0.0000	1156.93
375	0	0.0000	1160.02
376	0	0.0000	1163.12
377	1	1.7321	1166.21
378	1	1.0000	1169.31
379	0	0.0000	1172.40
380	1	1.0000	1175.49
381	0	1.0000	1178.59
382	1	1.0000	1181.68
383	0	0.0000	1184.77
384	0	1.4142	1187.87
385	0	1.0000	1190.96
386	0	0.0000	1194.05
387	1	1.0000	1197.15
388	0	0.0000	1200.24
389	1	1.0000	1203.33
390	0	0.0000	1206.43
391	0	0.0000	1209.52
392	1	1.0000	1212.61
393	1	1.0000	1215.71
394	0	0.0000	1218.80
395	0	1.0000	1221.89
396	0	0.0000	1224.99
397	1	1.0000	1228.08
398	1	1.0000	1231.17
399	0	0.0000	1234.27
