ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
0.000000 0.000000 1.000000 0.000000 28.260000 0.000000 0.000000 0.000000 0.000000
1.000000 0.000000 1.006053 0.110192 28.175434 0.000000 0.003093 0.003093 0.000000
2.000000 95.000000 1.012108 0.156083 28.093343 1.816910 0.006187 0.006187 95.000000
3.000000 2251.000000 1.018160 0.191444 28.012003 8.804393 0.009280 0.009280 2251.000000
4.000000 1973.000000 1.024215 0.221398 27.931091 8.205940 0.012374 0.012374 1973.000000
5.000000 997.000000 1.030268 0.247896 27.850693 5.807368 0.015467 0.015467 997.000000
6.000000 548.000000 1.036321 0.271958 27.770853 4.286486 0.018560 0.018560 548.000000
7.000000 354.000000 1.042376 0.294189 27.691569 3.430075 0.021654 0.021654 354.000000
8.000000 342.000000 1.048429 0.314964 27.612898 3.356744 0.024747 0.024747 342.000000
9.000000 357.000000 1.054483 0.334567 27.534823 3.414705 0.027841 0.027841 357.000000
10.000000 368.000000 1.060536 0.353181 27.457431 3.451981 0.030934 0.030934 368.000000
11.000000 425.000000 1.066589 0.370961 27.380721 3.693813 0.034027 0.034027 425.000000
12.000000 334.000000 1.072644 0.388027 27.304681 3.260612 0.037121 0.037121 334.000000
13.000000 275.000000 1.078697 0.404458 27.229370 2.946105 0.040214 0.040214 275.000000
14.000000 399.000000 1.084751 0.420340 27.154767 3.533728 0.043308 0.043308 399.000000
15.000000 378.000000 1.090804 0.435722 27.080979 3.425050 0.046401 0.046401 378.000000
16.000000 470.000000 1.096857 0.450661 27.008032 3.803228 0.049494 0.049494 470.000000
17.000000 579.000000 1.102912 0.465204 26.935947 4.203706 0.052588 0.052588 579.000000
18.000000 524.000000 1.108965 0.479378 26.864806 3.982502 0.055681 0.055681 524.000000
19.000000 613.000000 1.115020 0.493223 26.794593 4.289673 0.058775 0.058775 613.000000
20.000000 530.000000 1.121072 0.506758 26.725376 3.972303 0.061868 0.061868 530.000000
21.000000 603.000000 1.127125 0.520011 26.657068 4.219687 0.064961 0.064961 603.000000
22.000000 589.000000 1.133180 0.533008 26.589512 4.153398 0.068055 0.068055 589.000000
23.000000 629.000000 1.139233 0.545758 26.522629 4.274689 0.071148 0.071148 629.000000
24.000000 656.000000 1.145288 0.558287 26.456263 4.347835 0.074242 0.074242 656.000000
25.000000 624.000000 1.151341 0.570601 26.390360 4.223435 0.077335 0.077335 624.000000
26.000000 676.000000 1.157393 0.582717 26.324809 4.378343 0.080428 0.080428 676.000000
27.000000 765.000000 1.163448 0.594652 26.259507 4.639171 0.083522 0.083522 765.000000
28.000000 668.000000 1.169501 0.606410 26.194427 4.318006 0.086615 0.086615 668.000000
29.000000 761.000000 1.175556 0.618006 26.129540 4.590745 0.089709 0.089709 761.000000
30.000000 725.000000 1.181609 0.629443 26.064967 4.463410 0.092802 0.092802 725.000000
31.000000 710.000000 1.187661 0.640734 26.000759 4.399907 0.095895 0.095895 710.000000
32.000000 849.000000 1.193716 0.651888 25.936967 4.792842 0.098989 0.098989 849.000000
33.000000 920.000000 1.199769 0.662907 25.873694 4.970122 0.102082 0.102082 920.000000
34.000000 782.000000 1.205824 0.673804 25.810961 4.564754 0.105176 0.105176 782.000000
